Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-10,Stephen Curry,PG,8800,25.63012354332777,48.1,1,1.0,1.0
2017-01-10,Kyle Lowry,PG,8800,25.63012354332777,44.3,1,1.0,1.0
2017-01-10,Rodney Hood,SG,4000,23.77685534591195,29.5,1,2.0,1.0
2017-01-10,Jeremy Lamb,SG,4000,23.77685534591195,25.0,1,2.0,1.0
2017-01-10,Otto Porter Jr.,SF,6000,22.83547664481872,22.4,1,3.0,1.0
2017-01-10,Trevor Ariza,SF,5800,22.83547664481872,27.3,1,3.0,1.0
2017-01-10,Omri Casspi,PF,3800,24.831333213386106,18.0,1,4.0,1.0
2017-01-10,Channing Frye,PF,3800,24.831333213386106,9.6,1,4.0,1.0
2017-01-10,John Henson,C,3500,28.46141723091293,16.7,1,5.0,1.0
