Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-12-11,Reggie Jackson,PG,5700,26.15898730862427,18.7,0,1.0,1.0
2016-12-11,Semaj Christon,PG,3500,25.62667774958439,16.0,1,1.0,1.0
2016-12-11,Lou Williams,SG,6300,23.779154553311876,37.7,1,2.0,1.0
2016-12-11,Zach LaVine,SG,6100,23.779154553311876,33.6,1,2.0,1.0
2016-12-11,Solomon Hill,SF,3600,22.83105276236229,11.4,1,3.0,1.0
2016-12-11,Jae Crowder,SF,5400,22.83105276236229,25.9,1,3.0,1.0
2016-12-11,Alex Len,PF,5000,24.827897574124023,14.3,1,4.0,1.0
2016-12-11,Enes Kanter,PF,5000,24.827897574124023,28.2,1,4.0,1.0
2016-12-11,Joffrey Lauvergne,C,3500,28.456695023889946,20.6,1,5.0,1.0
