Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-12-27,Isaiah Thomas,PG,7900,25.63003409985138,29.7,1,1.0,1.0
2016-12-27,Deron Williams,PG,6700,25.63003409985138,16.6,1,1.0,1.0
2016-12-27,Lou Williams,SG,5500,23.773754909662237,25.9,1,2.0,1.0
2016-12-27,Rodney McGruder,SG,3600,23.773754909662237,9.7,1,2.0,1.0
2016-12-27,Joe Ingles,SF,4600,22.83370060475523,20.4,1,3.0,1.0
2016-12-27,Justise Winslow,SF,5200,22.83370060475523,21.1,1,3.0,1.0
2016-12-27,Zach Randolph,PF,5400,24.83118936399572,30.0,1,4.0,1.0
2016-12-27,Derrick Favors,PF,4700,24.83118936399572,17.7,1,4.0,1.0
2016-12-27,Nene,C,3500,28.460619829896174,24.6,1,5.0,1.0
