Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-11-09,Marcus Smart,PG,4900,31.59232106096876,25.1,0,1.0,1.0
2016-11-09,Kyle Lowry,PG,7600,25.633496846531195,46.3,1,1.0,1.0
2016-11-09,Kyle Korver,SG,3600,23.770751081399933,13.4,1,2.0,1.0
2016-11-09,Tim Hardaway Jr.,SG,3600,23.770751081399933,17.6,1,2.0,1.0
2016-11-09,Dorian Finney-Smith,SF,3500,27.059930793923648,11.6,0,3.0,1.0
2016-11-09,Gordon Hayward,SF,7200,34.87270102405318,43.4,0,3.0,1.0
2016-11-09,Paul Millsap,PF,8000,24.82240309380343,38.2,1,4.0,1.0
2016-11-09,Serge Ibaka,PF,5400,24.82240309380343,17.4,1,4.0,1.0
2016-11-09,Nene,C,3600,28.45881460739698,7.9,1,5.0,1.0
