Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-11-04,Kyle Lowry,PG,7500,40.29957961221538,37.1,0,1.0,1.0
2016-11-04,Deron Williams,PG,6000,32.8454202217282,29.0,0,1.0,1.0
2016-11-04,Devin Booker,SG,5600,36.20806056181184,41.3,0,2.0,1.0
2016-11-04,Bradley Beal,SG,5300,34.07519479559994,31.9,0,2.0,1.0
2016-11-04,Jimmy Butler,SF,7700,37.30336665740499,35.0,0,3.0,1.0
2016-11-04,Justise Winslow,SF,5000,33.87326593943022,25.6,0,3.0,1.0
2016-11-04,Blake Griffin,PF,8900,38.43867899026245,29.0,0,4.0,1.0
2016-11-04,Markieff Morris,PF,5500,29.642338197449703,36.3,0,4.0,1.0
2016-11-04,Hassan Whiteside,C,8400,39.18094164489903,47.7,0,5.0,1.0
