Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-12-13,Isaiah Canaan,PG,3500,25.625538057742766,15.1,1,1.0,1.0
2016-12-13,Brandon Jennings,PG,5000,25.625538057742766,10.5,1,1.0,1.0
2016-12-13,CJ McCollum,SG,7600,23.778484395880827,26.8,1,2.0,1.0
2016-12-13,Tim Hardaway Jr.,SG,3900,23.778484395880827,17.6,1,2.0,1.0
2016-12-13,Jimmy Butler,SF,9000,22.83088332780909,52.8,1,3.0,1.0
2016-12-13,Thabo Sefolosha,SF,4300,22.83088332780909,32.5,1,3.0,1.0
2016-12-13,Noah Vonleh,PF,3500,24.82211235955056,10.8,1,4.0,1.0
2016-12-13,Marquese Chriss,PF,3500,24.82211235955056,31.4,1,4.0,1.0
2016-12-13,Joffrey Lauvergne,C,3600,28.458286713286704,15.6,1,5.0,1.0
