Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-11-06,Jameer Nelson,PG,4200,25.626106736657945,23.1,1,1.0,1.0
2016-11-06,George Hill,PG,6000,25.626106736657945,42.9,1,1.0,1.0
2016-11-06,Arron Afflalo,SG,3600,23.769552238806014,19.5,1,2.0,1.0
2016-11-06,Seth Curry,SG,3500,23.769552238806014,9.0,1,2.0,1.0
2016-11-06,Dorian Finney-Smith,SF,3500,24.826988796847672,15.6,0,3.0,1.0
2016-11-06,Gordon Hayward,SF,7300,35.045458925833614,31.0,0,3.0,1.0
2016-11-06,Pascal Siakam,PF,3500,24.828940986257084,20.7,1,4.0,1.0
2016-11-06,Trey Lyles,PF,3700,24.828940986257084,10.9,1,4.0,1.0
2016-11-06,Timofey Mozgov,C,3800,28.458750873922032,23.6,1,5.0,1.0
