Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-12-20,Dante Exum,PG,3500,25.62550188480756,4.2,1,1.0,1.0
2016-12-20,Marcus Smart,PG,4900,25.62550188480756,8.4,1,1.0,1.0
2016-12-20,Norman Powell,SG,3500,23.77638495435944,35.1,1,2.0,1.0
2016-12-20,Arron Afflalo,SG,3500,23.77638495435944,11.7,1,2.0,1.0
2016-12-20,Terrence Ross,SF,3700,22.833870030707914,14.3,1,3.0,1.0
2016-12-20,Justise Winslow,SF,4700,22.833870030707914,21.0,1,3.0,1.0
2016-12-20,Kristaps Porzingis,PF,7800,24.834956349563488,35.1,1,4.0,1.0
2016-12-20,Dario Saric,PF,3900,24.834956349563488,11.1,1,4.0,1.0
2016-12-20,Justin Hamilton,C,3500,28.451208406304822,25.2,1,5.0,1.0
