Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-12-20,Darren Collison,PG,5500,25.62550188480756,17.1,1,1.0,1.0
2016-12-20,Jeremy Lin,PG,6500,25.62550188480756,22.4,1,1.0,1.0
2016-12-20,Avery Bradley,SG,6900,23.77638495435944,27.1,1,2.0,1.0
2016-12-20,Evan Fournier,SG,5800,23.77638495435944,37.0,1,2.0,1.0
2016-12-20,Luol Deng,SF,4500,22.833870030707914,25.9,1,3.0,1.0
2016-12-20,LeBron James,SF,10400,22.833870030707914,60.9,1,3.0,1.0
2016-12-20,Ryan Anderson,PF,5100,24.834956349563488,18.2,1,4.0,1.0
2016-12-20,Nikola Jokic,PF,5900,24.834956349563488,17.7,1,4.0,1.0
2016-12-20,Omer Asik,C,3500,28.451208406304822,11.2,1,5.0,1.0
