Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-02,Jameer Nelson,PG,3600,25.62757594327232,7.0,1,1.0,1.0
2017-01-02,Malcolm Brogdon,PG,4300,25.62757594327232,19.9,1,1.0,1.0
2017-01-02,JJ Redick,SG,4200,23.773161909255318,24.8,1,2.0,1.0
2017-01-02,Will Barton,SG,5200,23.773161909255318,26.4,1,2.0,1.0
2017-01-02,Tony Snell,SF,3600,22.833507506013106,6.1,1,3.0,1.0
2017-01-02,Andre Roberson,SF,3600,22.833507506013106,6.3,1,3.0,1.0
2017-01-02,Serge Ibaka,PF,6800,24.828132302714323,28.2,1,4.0,1.0
2017-01-02,Frank Kaminsky,PF,4100,24.828132302714323,14.1,1,4.0,1.0
2017-01-02,Spencer Hawes,C,3500,28.468903150525176,17.6,1,5.0,1.0
