Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-08,Matthew Dellavedova,PG,3900,25.627695541735967,11.4,1,1.0,1.0
2017-01-08,Darren Collison,PG,4500,25.627695541735967,22.2,1,1.0,1.0
2017-01-08,Iman Shumpert,SG,3600,23.77477392466775,21.1,1,2.0,1.0
2017-01-08,Rodney Hood,SG,4200,23.77477392466775,14.6,1,2.0,1.0
2017-01-08,Brandon Ingram,SF,3700,22.839771030363327,22.6,1,3.0,1.0
2017-01-08,LeBron James,SF,10100,22.839771030363327,38.6,1,3.0,1.0
2017-01-08,Draymond Green,PF,8000,24.82550800215789,36.4,1,4.0,1.0
2017-01-08,Channing Frye,PF,3800,24.82550800215789,14.8,1,4.0,1.0
2017-01-08,Timofey Mozgov,C,3500,28.456377640331546,30.8,1,5.0,1.0
