Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-02-01,Dennis Schroder,PG,6700,25.62819321469272,14.2,1,1.0,1.0
2017-02-01,Stephen Curry,PG,9300,25.62819321469272,62.0,1,1.0,1.0
2017-02-01,Victor Oladipo,SG,6000,23.782140889413593,19.0,1,2.0,1.0
2017-02-01,Courtney Lee,SG,4800,23.782140889413593,18.8,1,2.0,1.0
2017-02-01,Carmelo Anthony,SF,8500,22.83812370278122,17.6,1,3.0,1.0
2017-02-01,Dante Cunningham,SF,3500,22.83812370278122,7.4,1,3.0,1.0
2017-02-01,Anthony Davis,PF,11200,24.835149005131868,55.4,1,4.0,1.0
2017-02-01,Kristaps Porzingis,PF,6500,24.835149005131868,36.9,1,4.0,1.0
2017-02-01,JaVale McGee,C,3500,28.46785797710825,20.8,1,5.0,1.0
