Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-02-01,Dennis Schroder,PG,6700,25.62819321469272,14.2,1,1.0,1.0
2017-02-01,Stephen Curry,PG,9300,25.62819321469272,62.0,1,1.0,1.0
2017-02-01,Wayne Ellington,SG,4000,23.782140889413593,13.9,1,2.0,1.0
2017-02-01,Sean Kilpatrick,SG,4000,23.782140889413593,8.1,1,2.0,1.0
2017-02-01,Marcus Morris Sr.,SF,5200,22.83812370278122,16.8,1,3.0,1.0
2017-02-01,Andre Iguodala,SF,4400,22.83812370278122,16.5,1,3.0,1.0
2017-02-01,Channing Frye,PF,4200,24.835149005131868,30.3,1,4.0,1.0
2017-02-01,Paul Millsap,PF,8400,24.835149005131868,23.4,1,4.0,1.0
2017-02-01,JaVale McGee,C,3500,28.46785797710825,20.8,1,5.0,1.0
