Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2018-10-22,John Wall,PG,9800,52.52827257913926,36.3,1,1.0,1.0
2018-10-22,Bryn Forbes,PG,4300,28.686897914969872,23.1,1,1.0,1.0
2018-10-22,Bradley Beal,SG,8000,44.15236996428112,48.1,1,2.0,1.0
2018-10-22,DeMar DeRozan,SG,8200,48.347278707308,63.6,1,2.0,1.0
2018-10-22,Otto Porter Jr.,SF,6300,41.08653872532048,36.0,1,3.0,1.0
2018-10-22,Kelly Oubre Jr.,SF,3900,32.28128794870868,35.2,1,3.0,1.0
2018-10-22,Thaddeus Young,PF,5100,31.174152216452192,22.2,1,4.0,1.0
2018-10-22,LaMarcus Aldridge,PF,8800,45.875341435086746,61.5,1,4.0,1.0
2018-10-22,JaVale McGee,C,5500,32.74940023778361,32.1,1,5.0,1.0
