Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-12-17,Emmanuel Mudiay,PG,4700,25.625608261858922,38.9,1,1.0,1.0
2016-12-17,Damian Lillard,PG,9700,25.625608261858922,23.9,1,1.0,1.0
2016-12-17,James Harden,SG,11800,23.77227201257861,57.3,1,2.0,1.0
2016-12-17,JR Smith,SG,4000,23.77227201257861,16.2,1,2.0,1.0
2016-12-17,Andrew Wiggins,SF,6400,22.830931852097503,34.7,1,3.0,1.0
2016-12-17,Kent Bazemore,SF,4000,22.830931852097503,29.3,1,3.0,1.0
2016-12-17,Julius Randle,PF,6200,24.82346544441448,26.3,1,4.0,1.0
2016-12-17,Noah Vonleh,PF,3500,24.82346544441448,15.6,1,4.0,1.0
2016-12-17,Zaza Pachulia,C,3500,28.46115644672416,15.4,1,5.0,1.0
