Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-24,Ricky Rubio,PG,6500,25.63097925964823,34.8,1,1.0,1.0
2017-01-24,Jamal Murray,PG,3700,25.63097925964823,14.9,1,1.0,1.0
2017-01-24,Brandon Knight,SG,3700,23.774452038651923,15.9,1,2.0,1.0
2017-01-24,Jamal Crawford,SG,4200,23.774452038651923,30.2,1,2.0,1.0
2017-01-24,Joe Ingles,SF,4200,22.837162274158825,10.1,1,3.0,1.0
2017-01-24,Gordon Hayward,SF,7400,22.837162274158825,17.7,1,3.0,1.0
2017-01-24,Alex Len,PF,3500,24.82211235955056,20.0,1,4.0,1.0
2017-01-24,Patrick Patterson,PF,3800,24.82211235955056,18.3,1,4.0,1.0
2017-01-24,Cristiano Felicio,C,3500,28.462438796922235,24.0,1,5.0,1.0
