Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-16,Stephen Curry,PG,8900,25.6251226348984,43.9,1,1.0,1.0
2017-01-16,Marcus Smart,PG,5700,25.6251226348984,18.0,1,1.0,1.0
2017-01-16,Courtney Lee,SG,3900,23.78116397955173,9.9,1,2.0,1.0
2017-01-16,Kyle Korver,SG,3900,23.78116397955173,13.4,1,2.0,1.0
2017-01-16,Paul George,SF,7600,22.83563370935636,35.0,1,3.0,1.0
2017-01-16,Kevin Durant,SF,10000,22.83563370935636,44.7,1,3.0,1.0
2017-01-16,Frank Kaminsky,PF,3800,24.827649811049127,11.2,1,4.0,1.0
2017-01-16,Kenneth Faried,PF,4300,24.827649811049127,33.0,1,4.0,1.0
2017-01-16,John Henson,C,3500,28.457361175921516,24.0,1,5.0,1.0
