"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"41696-9644","SG","James","James Harden","Harden","60.48461444561298","26","12400","SA@HOU","HOU","SA","","","","",""
"41696-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","58.18846247746394","26","12100","DAL@MIL","MIL","DAL","","","","",""
"41696-84669","PG","Luka","Luka Doncic","Doncic","53.672001953125","25","11900","DAL@MIL","DAL","MIL","O","Ankle","","",""
"41696-15595","SG","Bradley","Bradley Beal","Beal","43.82500203450521","24","10500","WAS@DET","WAS","DET","","","","",""
"41696-9642","PG","Russell","Russell Westbrook","Westbrook","44.75217603600544","23","10400","SA@HOU","HOU","SA","","","","",""
"41696-15557","C","Andre","Andre Drummond","Drummond","49.147998046875","25","10000","WAS@DET","DET","WAS","GTD","Eye","","",""
"41696-55059","C","Clint","Clint Capela","Capela","39.69545399058949","22","9700","SA@HOU","HOU","SA","","","","",""
"41696-12363","C","Hassan","Hassan Whiteside","Whiteside","39.92173966117527","23","9500","POR@PHO","POR","PHO","","","","",""
"41696-14528","SG","Jimmy","Jimmy Butler","Butler","44.92272671786222","22","9400","MIA@MEM","MIA","MEM","","","","",""
"41696-80817","PF","Bam","Bam Adebayo","Adebayo","39.73845966045673","26","9300","MIA@MEM","MIA","MEM","","","","",""
"41696-63122","PF","Kristaps","Kristaps Porzingis","Porzingis","35.80416615804037","24","8800","DAL@MIL","DAL","MIL","","","","",""
"41696-9535","PG","Kyle","Kyle Lowry","Lowry","36.692858014787944","14","8700","CLE@TOR","TOR","CLE","","","","",""
"41696-20848","PG","Damian","Damian Lillard","Lillard","44.258331298828125","24","8700","POR@PHO","POR","PHO","","","","",""
"41696-58460","SG","Devin","Devin Booker","Booker","38.449999491373696","24","8600","POR@PHO","PHO","POR","GTD","Forearm","","",""
"41696-60021","SF","Pascal","Pascal Siakam","Siakam","43.0239990234375","25","8600","CLE@TOR","TOR","CLE","","","","",""
"41696-14496","PG","Ricky","Ricky Rubio","Rubio","35.625","20","8600","POR@PHO","PHO","POR","","","","",""
"41696-110344","PG","Ja","Ja Morant","Morant","33.76499938964844","20","8200","MIA@MEM","MEM","MIA","","","","",""
"41696-40783","SG","Zach","Zach LaVine","LaVine","35.6500004359654","28","7900","CHI@OKC","CHI","OKC","","","","",""
"41696-9714","SG","DeMar","DeMar DeRozan","DeRozan","36.84","25","7900","SA@HOU","SA","HOU","","","","",""
"41696-58153","SF","Kelly","Kelly Oubre","Oubre","31.9039990234375","25","7700","POR@PHO","PHO","POR","","","","",""
