Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2018-10-23,Reggie Jackson,PG,6300,35.482017610597346,30.1,1,1.0,1.0
2018-10-23,Ish Smith,PG,4600,28.417851696318344,29.7,1,1.0,1.0
2018-10-23,Reggie Bullock,SG,4400,29.77572921759553,23.9,1,2.0,1.0
2018-10-23,JJ Redick,SG,5300,32.335219204713226,46.2,1,2.0,1.0
2018-10-23,Robert Covington,SF,6100,39.741740350520615,33.6,1,3.0,1.0
2018-10-23,Solomon Hill,SF,3500,17.207567657046546,26.6,1,3.0,1.0
2018-10-23,Dario Saric,PF,5900,35.8896246022446,36.1,1,4.0,1.0
2018-10-23,Anthony Davis,PF,13000,63.15611686779464,70.6,1,4.0,1.0
2018-10-23,Joel Embiid,C,10700,54.97638290774191,64.7,1,5.0,1.0
