Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-12-02,Emmanuel Mudiay,PG,5800,25.637185665469232,20.6,1,1.0,1.0
2016-12-02,Darren Collison,PG,5800,25.637185665469232,20.5,1,1.0,1.0
2016-12-02,DeMar DeRozan,SG,8900,23.779174203696453,32.8,1,2.0,1.0
2016-12-02,Tim Hardaway Jr.,SG,3700,23.779174203696453,18.4,1,2.0,1.0
2016-12-02,Jimmy Butler,SF,8800,22.82678275290218,53.6,1,3.0,1.0
2016-12-02,Luc Mbah a Moute,SF,3500,22.82678275290218,29.0,1,3.0,1.0
2016-12-02,Amir Johnson,PF,3600,24.83057828941454,18.9,1,4.0,1.0
2016-12-02,David Lee,PF,3600,24.83057828941454,18.4,1,4.0,1.0
2016-12-02,Tarik Black,C,3500,28.463417765845502,15.2,1,5.0,1.0
