Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-12-07,Reggie Jackson,PG,7000,26.833977188392442,14.6,0,1.0,1.0
2016-12-07,Marcus Smart,PG,4700,25.630173471175734,23.1,1,1.0,1.0
2016-12-07,Monta Ellis,SG,4700,23.769127938979306,9.3,1,2.0,1.0
2016-12-07,Iman Shumpert,SG,3500,23.769127938979306,23.7,1,2.0,1.0
2016-12-07,Jeff Green,SF,3800,22.839459055836702,9.4,1,3.0,1.0
2016-12-07,Andre Iguodala,SF,3800,22.839459055836702,24.2,1,3.0,1.0
2016-12-07,Nikola Jokic,PF,5100,24.83473958801835,32.7,1,4.0,1.0
2016-12-07,Thaddeus Young,PF,5100,24.83473958801835,17.8,1,4.0,1.0
2016-12-07,Kelly Olynyk,C,3500,28.464350770667966,18.8,1,5.0,1.0
