Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-11-25,Jrue Holiday,PG,7900,30.619989998603035,25.3,0,1.0,1.0
2016-11-25,Isaiah Thomas,PG,8200,25.631941398368244,35.2,1,1.0,1.0
2016-11-25,Nicolas Batum,SG,6200,23.776064876781373,42.3,1,2.0,1.0
2016-11-25,Victor Oladipo,SG,5900,23.776064876781373,46.3,1,2.0,1.0
2016-11-25,Marco Belinelli,SF,4200,22.831464872944714,26.9,1,3.0,1.0
2016-11-25,Bojan Bogdanovic,SF,4300,22.831464872944714,12.1,1,3.0,1.0
2016-11-25,Gorgui Dieng,PF,5900,24.832009366837806,34.4,1,4.0,1.0
2016-11-25,Enes Kanter,PF,4800,24.832009366837806,18.9,1,4.0,1.0
2016-11-25,Miles Plumlee,C,3500,28.48686549707601,13.1,1,5.0,1.0
