Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-11-25,Jrue Holiday,PG,7900,30.619989998603035,25.3,0,1.0,1.0
2016-11-25,Isaiah Thomas,PG,8200,25.631941398368244,35.2,1,1.0,1.0
2016-11-25,Brandon Knight,SG,4300,23.776064876781373,23.3,1,2.0,1.0
2016-11-25,Dwyane Wade,SG,6700,23.776064876781373,42.0,1,2.0,1.0
2016-11-25,Marcus Morris Sr.,SF,5000,22.831464872944714,18.6,1,3.0,1.0
2016-11-25,Jimmy Butler,SF,8800,22.831464872944714,37.3,1,3.0,1.0
2016-11-25,Markieff Morris,PF,4900,24.832009366837806,23.6,1,4.0,1.0
2016-11-25,Thaddeus Young,PF,5600,24.832009366837806,17.8,1,4.0,1.0
2016-11-25,Miles Plumlee,C,3500,28.48686549707601,13.1,1,5.0,1.0
