Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-10-26,Andrew Harrison,PG,3500,30.0136330877355,12.6,0,1.0,1.0
2016-10-26,Kyle Lowry,PG,8000,38.59229203379554,28.0,0,1.0,1.0
2016-10-26,Monta Ellis,SG,5500,37.06975226482425,40.9,0,2.0,1.0
2016-10-26,Evan Fournier,SG,5800,34.43786082631266,33.8,0,2.0,1.0
2016-10-26,Paul George,SF,9500,44.47705964469759,41.6,0,3.0,1.0
2016-10-26,Harrison Barnes,SF,4800,29.500930554653568,27.8,0,3.0,1.0
2016-10-26,Tobias Harris,PF,6300,33.39507182754246,26.5,0,4.0,1.0
2016-10-26,Anthony Davis,PF,10200,45.324707778070746,95.7,0,4.0,1.0
2016-10-26,Myles Turner,C,6400,34.91005904099949,60.7,0,5.0,1.0
