Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-27,Elfrid Payton,PG,6500,25.627801629720484,28.5,1,1.0,1.0
2017-01-27,Derrick Rose,PG,6500,25.627801629720484,23.4,1,1.0,1.0
2017-01-27,Sean Kilpatrick,SG,4000,23.774512271869078,26.9,1,2.0,1.0
2017-01-27,Wayne Ellington,SG,4000,23.774512271869078,29.0,1,2.0,1.0
2017-01-27,Matt Barnes,SF,3600,22.840517885301672,7.9,1,3.0,1.0
2017-01-27,Terrence Ross,SF,3600,22.840517885301672,15.2,1,3.0,1.0
2017-01-27,Nerlens Noel,PF,4600,24.83324034914061,22.3,1,4.0,1.0
2017-01-27,Taj Gibson,PF,4600,24.83324034914061,31.0,1,4.0,1.0
2017-01-27,Roy Hibbert,C,3500,28.465931115003052,6.8,1,5.0,1.0
