Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-14,Sergio Rodriguez,PG,4200,25.62822397200349,9.2,1,1.0,1.0
2017-01-14,Eric Bledsoe,PG,7700,25.62822397200349,38.2,1,1.0,1.0
2017-01-14,Tyreke Evans,SG,5600,23.77893620364551,25.2,1,2.0,1.0
2017-01-14,Bradley Beal,SG,7000,23.77893620364551,27.3,1,2.0,1.0
2017-01-14,Jimmy Butler,SF,9600,22.829344045055485,55.6,1,3.0,1.0
2017-01-14,Doug McDermott,SF,3600,22.829344045055485,18.4,1,3.0,1.0
2017-01-14,Marreese Speights,PF,4200,24.83016172506741,13.4,1,4.0,1.0
2017-01-14,Markieff Morris,PF,5700,24.83016172506741,23.3,1,4.0,1.0
2017-01-14,Timofey Mozgov,C,3500,28.4573592821349,17.0,1,5.0,1.0
