Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-14,Sergio Rodriguez,PG,4200,25.62822397200349,9.2,1,1.0,1.0
2017-01-14,Tony Parker,PG,4800,25.62822397200349,18.2,1,1.0,1.0
2017-01-14,Tomas Satoransky,SG,3500,23.77893620364551,13.8,1,2.0,1.0
2017-01-14,E'Twaun Moore,SG,3500,23.77893620364551,19.2,1,2.0,1.0
2017-01-14,Dante Cunningham,SF,3500,22.829344045055485,14.5,1,3.0,1.0
2017-01-14,Luc Mbah a Moute,SF,3500,22.829344045055485,14.3,1,3.0,1.0
2017-01-14,Terrence Jones,PF,5100,24.83016172506741,27.6,1,4.0,1.0
2017-01-14,LaMarcus Aldridge,PF,7300,24.83016172506741,20.8,1,4.0,1.0
2017-01-14,Timofey Mozgov,C,3500,28.4573592821349,17.0,1,5.0,1.0
