Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-11-20,Jeff Teague,PG,6600,25.63167016806723,58.5,1,1.0,1.0
2016-11-20,Emmanuel Mudiay,PG,6000,25.63167016806723,31.6,1,1.0,1.0
2016-11-20,Courtney Lee,SG,3500,23.776734501453628,29.5,1,2.0,1.0
2016-11-20,Alex Abrines,SG,3500,23.776734501453628,10.5,1,2.0,1.0
2016-11-20,Glenn Robinson III,SF,3500,35.693385986232634,30.2,0,3.0,1.0
2016-11-20,Jerami Grant,SF,3600,22.82934206165067,14.2,1,3.0,1.0
2016-11-20,Patrick Patterson,PF,3800,24.829918216949768,18.5,1,4.0,1.0
2016-11-20,Trey Lyles,PF,4000,24.829918216949768,13.7,1,4.0,1.0
2016-11-20,Tarik Black,C,3500,28.45919319109237,15.7,1,5.0,1.0
