Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-11-04,SG,"Harden, James",68,"11,000",hou,@ mem, 107-100,37:15,   44pt 10rb 6as 2st 1bl 6to 7trey 12-28fg 13-18ft
2019-11-04,PG,"Irving, Kyrie",61.3,"9,700",bkn,v nor, 135-125,34:33,   39pt 4rb 9as 3st 5to 2trey 13-21fg 11-11ft
2019-11-04,PG,"Lillard, Damian",49.4,"10,300",por,@ gsw, 118-127,37:18,   39pt 2rb 4as 1bl 1to 5trey 15-26fg 4-4ft
2019-11-04,SG,"Booker, Devin",49.3,"8,500",pho,v phi, 114-109,32:05,   40pt 4rb 3as 1bl 3to 3trey 15-19fg 7-7ft
2019-11-04,SG,"Holiday, Jrue",43.9,"8,300",nor,@ bkn, 125-135,34:00,   15pt 7rb 3as 4st 2bl 2to 1trey 7-17fg
2019-11-04,SG,"Brown, Bruce",43.9,"3,900",det,@ was, 99-115,36:39,   14pt 7rb 7as 2st 3bl 4to 1trey 5-12fg 3-5ft
2019-11-04,PG,"Rubio, Ricky",43.4,"6,800",pho,v phi, 114-109,33:36,   21pt 7rb 10as 1to 3trey 6-14fg 6-6ft
2019-11-04,PG,"Bledsoe, Eric",41.8,"6,300",mil,@ min, 134-106,23:37,   22pt 9rb 6as 1st 3to 1trey 8-14fg 5-6ft
2019-11-04,SG,"Middleton, Khris",39.6,"7,300",mil,@ min, 134-106,27:03,   26pt 3rb 4as 2st 2to 4trey 9-15fg 4-4ft
2019-11-04,PG,"Morant, Ja",38,"7,700",mem,v hou, 100-107,28:23,   23pt 5rb 6as 1st 3to 1trey 10-16fg 2-4ft
2019-11-04,PG,"Simmons, Ben",38,"9,500",phi,@ pho, 109-114,35:37,   6pt 5rb 6as 7st 4to 2-8fg 2-2ft
2019-11-04,SG,"LeVert, Caris",35.9,"6,500",bkn,v nor, 135-125,35:08,   23pt 7rb 5as 3to 4trey 9-19fg 1-3ft
2019-11-04,SG,"Brooks, Dillon",35.3,"4,400",mem,v hou, 100-107,31:43,   17pt 9rb 1as 2st 7-18fg 3-4ft
2019-11-04,SG,"Beal, Bradley",35,"9,600",was,v det, 115-99,32:22,   22pt 5rb 6as 1st 5to 1trey 8-17fg 5-8ft
2019-11-04,SG,"Hart, Josh",32.9,"5,900",nor,@ bkn, 125-135,30:49,   14pt 7rb 1as 4st 3to 2trey 6-13fg
2019-11-04,PG,"Bowman, Ky",32.8,"4,400",gsw,v por, 127-118,37:15,   19pt 4rb 8as 3to 1trey 9-14fg
2019-11-04,SG,"Wiggins, Andrew",32.6,"6,900",min,v mil, 106-134,30:38,   25pt 3rb 2bl 2to 4trey 10-21fg 1-2ft
2019-11-04,SG,"Lee, Damion",31.3,"3,900",gsw,v por, 127-118,29:10,   18pt 4rb 3as 2st 2to 4-8fg 10-11ft
2019-11-04,SG,"DiVincenzo, Donte",30.9,"3,800",mil,@ min, 134-106,20:15,   17pt 7rb 1as 1st 1bl 2to 3trey 6-11fg 2-4ft
2019-11-04,PG,"Jones, Tyus",30,"3,900",mem,v hou, 100-107,25:21,   10pt 5rb 4as 3st 1to 4-9fg 2-2ft
2019-11-04,PG,"Napier, Shabazz",29.6,"4,000",min,v mil, 106-134,24:36,   10pt 3rb 4as 4st 2to 2trey 4-12fg
2019-11-04,SG,"Poole, Jordan",29.1,"3,900",gsw,v por, 127-118,30:32,   16pt 3rb 5as 1bl 1to 2trey 3-16fg 8-8ft
2019-11-04,SG,"Temple, Garrett",27.4,"3,800",bkn,v nor, 135-125,25:48,   13pt 2rb 4as 1st 1bl 3trey 4-6fg 2-3ft
2019-11-04,SG,"Korkmaz, Furkan",27,"3,800",phi,@ pho, 109-114,33:41,   20pt 5rb 2as 2to 4trey 6-13fg 4-5ft
2019-11-04,PG,"Thomas, Isaiah",26.4,"5,300",was,v det, 115-99,24:26,   9pt 2rb 6as 1st 1bl 1trey 4-12fg
2019-11-04,SG,"McCollum, CJ",24.2,"6,700",por,@ gsw, 118-127,33:37,   14pt 1rb 6as 2trey 6-16fg
2019-11-04,PG,"Simons, Anfernee",23.9,"3,600",por,@ gsw, 118-127,19:07,   14pt 2rb 1as 2st 1trey 5-10fg 3-3ft
2019-11-04,PG,"Teague, Jeff",20.9,"6,200",min,v mil, 106-134,18:05,   10pt 2rb 3as 1st 1bl 2to 3-7fg 4-4ft
2019-11-04,SG,"Anderson, Kyle",20.5,"4,500",mem,v hou, 100-107,24:52,   10pt 5rb 1as 1st 4-9fg 2-2ft
2019-11-04,PG,"Ball, Lonzo",19.9,"7,400",nor,@ bkn, 125-135,20:52,   15pt 2rb 3as 2to 3trey 6-10fg
2019-11-04,SG,"Redick, JJ",19.2,"4,300",nor,@ bkn, 125-135,21:04,   12pt 1rb 1st 1bl 3trey 4-9fg 1-2ft
2019-11-04,SG,"McLemore, Ben",18.5,"3,500",hou,@ mem, 107-100,30:02,   12pt 3as 1st 1to 3trey 3-11fg 3-4ft
2019-11-04,PG,"Jackson, Frank",16,"4,100",nor,@ bkn, 125-135,24:39,   12pt 2as 2st 5to 1trey 4-9fg 3-3ft
2019-11-04,SG,"Matthews, Wes",15.4,"4,100",mil,@ min, 134-106,21:50,   8pt 2rb 2st 1to 2trey 3-6fg
