Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-12-11,SG,"Harden, James",76.6,"12,200",hou,@ cle, 116-110,41:16,   55pt 3rb 8as 2st 2bl 6to 10trey 20-34fg 5-5ft
2019-12-11,PG,"Walker, Kemba",62.1,"7,700",bos,@ ind, 117-122,35:16,   44pt 3rb 7as 2st 2to 7trey 16-28fg 5-7ft
2019-12-11,PG,"Teague, Jeff",51.8,"5,300",min,v uta, 116-127,35:50,   32pt 4rb 6as 1st 1bl 4trey 11-16fg 6-6ft
2019-12-11,SG,"Graham, Devonte",51.5,"7,700",cha,@ bkn, 113-108,37:05,   40pt 5rb 5as 2to 7trey 12-21fg 9-11ft
2019-12-11,PG,"Westbrook, Russell",50.4,"10,400",hou,@ cle, 116-110,36:31,   23pt 7rb 6as 4st 2to 1trey 9-20fg 4-4ft
2019-12-11,SG,"Russell, D",48.6,"8,500",gsw,v nyk, 122-124,35:41,   32pt 3rb 6as 2st 2to 6trey 12-27fg 2-3ft
2019-12-11,PG,"Brogdon, Malcolm",48.4,"8,000",ind,v bos, 122-117,29:18,   29pt 2rb 8as 2st 1to 2trey 6-10fg 15-15ft
2019-12-11,SG,"LaVine, Zach",46.4,"8,200",chi,v atl, 136-102,25:29,   35pt 2rb 4as 1st 1bl 3to 7trey 12-16fg 4-4ft
2019-12-11,SG,"Mitchell, Donovan",46,"8,100",uta,@ min, 127-116,36:19,   30pt 5rb 6as 1bl 2to 2trey 13-20fg 2-2ft
2019-12-11,SG,"Wiggins, Andrew",44.7,"7,700",min,v uta, 116-127,37:32,   26pt 6rb 3as 3st 2to 3trey 11-23fg 1-1ft
2019-12-11,PG,"Bledsoe, Eric",44.6,"7,000",mil,v nor, 127-112,25:27,   29pt 3rb 6as 2st 3to 5trey 10-13fg 4-4ft
2019-12-11,SG,"Hield, Buddy",43.2,"7,500",sac,v okc, 94-93,37:03,   23pt 6rb 6as 2st 2to 5trey 9-24fg
2019-12-11,PG,"Paul, Chris",42.4,"7,500",okc,@ sac, 93-94,35:05,   8pt 7rb 12as 3bl 1to 2trey 3-9fg
2019-12-11,SG,"Barrett, RJ",41.5,"6,400",nyk,@ gsw, 124-122,46:05,   22pt 10rb 3as 1st 1bl 3to 3trey 8-16fg 3-4ft
2019-12-11,SG,"Middleton, Khris",41,"6,800",mil,v nor, 127-112,30:50,   24pt 5rb 4as 2st 1to 1trey 11-22fg 1-1ft
2019-12-11,PG,"Dinwiddie, Spencer",40,"8,000",bkn,v cha, 108-113,32:46,   24pt 5rb 6as 1st 2to 2trey 8-16fg 6-9ft
2019-12-11,SG,"Williams, Louis",37.2,"6,000",lac,@ tor, 112-92,32:26,   18pt 6rb 8as 1st 3to 3trey 7-12fg 1-3ft
2019-12-11,SG,"Booker, Devin",36.8,"8,700",pho,v mem, 108-115,39:17,   15pt 4rb 10as 1st 1to 6-17fg 3-4ft
2019-12-11,PG,"Young, Trae",35.9,"9,600",atl,@ chi, 102-136,31:44,   15pt 2rb 13as 2st 7to 1trey 4-14fg 6-7ft
