Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-11-13,SG,"Harden, James",67.7,"12,200",hou,v lac, 102-93,44:27,   47pt 6rb 7as 3st 6to 7trey 12-26fg 16-17ft
2019-11-13,SG,"Beal, Bradley",61,"8,900",was,@ bos, 133-140,39:00,   44pt 5rb 6as 1st 1to 4trey 17-27fg 6-8ft
2019-11-13,SG,"Wiggins, Andrew",57.1,"8,600",min,v sas, 129-114,31:45,   30pt 8rb 7as 2st 1bl 2to 4trey 12-23fg 2-2ft
2019-11-13,SG,"VanVleet, Fred",52.3,"7,500",tor,@ por, 114-106,40:29,   30pt 4rb 7as 2st 1bl 2to 4trey 10-16fg 6-6ft
2019-11-13,PG,"Rozier, Terry",49,"7,000",cha,v mem, 117-119,36:39,   33pt 5rb 6as 2st 5to 7trey 13-21fg
2019-11-13,SG,"DeRozan, DeMar",46,"7,600",sas,@ min, 114-129,33:27,   27pt 5rb 4as 1st 2bl 2to 12-18fg 3-4ft
2019-11-13,PG,"Walker, Kemba",44.5,"9,000",bos,v was, 140-133,34:59,   25pt 5rb 5as 1st 1bl 6trey 8-17fg 3-3ft
2019-11-13,PG,"Morant, Ja",39.7,"7,200",mem,@ cha, 119-117,30:04,   23pt 1rb 11as 1st 4to 1trey 10-15fg 2-3ft
2019-11-13,SG,"Monk, Malik",39.1,"4,000",cha,v mem, 117-119,29:14,   20pt 8rb 5as 1bl 1to 1trey 8-13fg 3-4ft
2019-11-13,SG,"McCollum, CJ",37.2,"7,100",por,v tor, 106-114,36:33,   19pt 6rb 4as 1st 1bl 1to 3trey 8-18fg 0-1ft
2019-11-13,SG,"Russell, D",36.4,"9,200",gsw,@ lal, 94-120,31:00,   21pt 2rb 8as 1st 1bl 5to 6-13fg 9-10ft
2019-11-13,SG,"Smart, Marcus",35.3,"6,300",bos,v was, 140-133,36:14,   17pt 4rb 5as 2bl 4trey 6-12fg 1-2ft
2019-11-13,SG,"Richardson, Josh",34.7,"6,400",phi,@ orl, 97-112,29:49,   19pt 6rb 5as 1st 2to 2trey 7-14fg 3-5ft
2019-11-13,PG,"Teague, Jeff",34.4,"6,500",min,v sas, 129-114,22:52,   18pt 2rb 6as 2st 1to 1trey 6-10fg 5-6ft
2019-11-13,PG,"Simmons, Ben",33.1,"8,400",phi,@ orl, 97-112,35:17,   18pt 8rb 5as 2to 9-12fg
2019-11-13,SG,"Brooks, Dillon",32.6,"5,100",mem,@ cha, 119-117,28:24,   15pt 3rb 4as 2st 1bl 1to 3trey 6-13fg
2019-11-13,SG,"Williams, Louis",32.4,"7,000",lac,@ hou, 93-102,40:58,   20pt 7rb 4as 2to 1trey 8-22fg 3-3ft
2019-11-13,PG,"Augustin, DJ",31,"4,200",orl,v phi, 112-97,26:54,   12pt 5rb 8as 1st 2to 1trey 4-13fg 3-3ft
2019-11-13,SG,"Anderson, Kyle",30.4,"3,900",mem,@ cha, 119-117,17:24,   5pt 7rb 4as 3st 1bl 1to 2-5fg 1-3ft
2019-11-13,PG,"Edwards, Carsen",29.3,"4,500",bos,v was, 140-133,20:29,   18pt 4rb 3as 1st 1to 4trey 7-12fg
2019-11-13,PG,"Lillard, Damian",29.2,"10,200",por,v tor, 106-114,36:57,   9pt 1rb 10as 2bl 2to 2trey 2-12fg 3-3ft
2019-11-13,PG,"Thomas, Isaiah",27.7,"5,500",was,@ bos, 133-140,32:37,   18pt 1rb 7as 2to 3trey 7-14fg 1-1ft
2019-11-13,SG,"Guduric, Marko",24.4,"3,600",mem,@ cha, 119-117,19:36,   17pt 2rb 1st 1bl 1to 4trey 6-9fg 1-1ft
2019-11-13,SG,"Graham, Devonte",24.2,"7,200",cha,v mem, 117-119,34:16,   19pt 1rb 4as 1bl 5to 4trey 7-19fg 1-1ft
2019-11-13,SG,"Davis, Terence",22.7,"3,600",tor,@ por, 114-106,30:52,   15pt 6rb 1as 1to 3trey 5-10fg 2-2ft
2019-11-13,PG,"Caruso, Alex",22.7,"3,500",lal,v gsw, 120-94,27:05,   8pt 6rb 3as 1st 1trey 3-7fg 1-1ft
2019-11-13,SG,"Ross, Terrence",22.1,"4,000",orl,v phi, 112-97,25:59,   13pt 3rb 1as 2st 2to 3trey 4-11fg 2-2ft
2019-11-13,SG,"Fournier, Evan",20.9,"5,500",orl,v phi, 112-97,31:00,   13pt 2rb 3as 1st 2to 1trey 5-10fg 2-3ft
2019-11-13,PG,"Westbrook, Russell",20.4,"9,900",hou,v lac, 102-93,29:36,   17pt 2rb 2as 2to 2trey 6-20fg 3-4ft
2019-11-13,PG,"Fultz, Markelle",20.3,"4,500",orl,v phi, 112-97,21:06,   8pt 4rb 3as 1st 2-6fg 4-6ft
2019-11-13,PG,"Simons, Anfernee",18.7,"4,800",por,v tor, 106-114,27:20,   17pt 1rb 1as 1to 3trey 6-11fg 2-2ft
2019-11-13,SG,"McLemore, Ben",17.5,"3,500",hou,v lac, 102-93,22:33,   8pt 5rb 1as 1st 1to 2trey 3-9fg
2019-11-13,PG,"Murray, Dejounte",17.3,"6,600",sas,@ min, 114-129,21:55,   11pt 4rb 1as 2-6fg 7-7ft
2019-11-13,SG,"Powell, Norman",16.4,"4,800",tor,@ por, 114-106,27:14,   2pt 7rb 2bl 0-6fg 2-2ft
2019-11-13,PG,"Cook, Quinn",16.2,"4,100",lal,v gsw, 120-94,24:23,   10pt 1rb 2as 1st 1to 5-11fg
2019-11-13,SG,"Forbes, Bryn",15.9,"4,200",sas,@ min, 114-129,23:46,   13pt 2rb 1as 1to 2trey 5-10fg 1-1ft
