Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-10-24,PG,"Westbrook, Russell",59.7,"10,000",hou,v mil, 111-117,32:52,   24pt 16rb 7as 2st 1bl 3to 3trey 7-17fg 7-11ft
2019-10-24,PG,"Young, Trae",56.9,"9,000",atl,@ det, 117-100,37:15,   38pt 7rb 9as 1st 6to 6trey 11-21fg 10-12ft
2019-10-24,SG,"Harden, James",47.4,"11,400",hou,v mil, 111-117,36:26,   19pt 7rb 14as 1st 1bl 7to 1trey 2-13fg 14-14ft
2019-10-24,SG,"Williams, Louis",40.6,"6,900",lac,@ gsw, 141-122,29:24,   22pt 3rb 8as 1st 1trey 5-11fg 11-11ft
2019-10-24,SG,"Russell, D",31,"8,200",gsw,v lac, 122-141,33:15,   20pt 8as 1to 4trey 6-16fg 4-4ft
2019-10-24,SG,"Rose, Derrick",29.7,"5,500",det,v atl, 100-117,25:16,   27pt 1rb 3as 3to 11-16fg 5-5ft
2019-10-24,SG,"Middleton, Khris",29.1,"7,600",mil,@ hou, 117-111,33:20,   11pt 8rb 3as 1st 1bl 2to 3trey 4-16fg
2019-10-24,PG,"Curry, Stephen",28.8,"10,300",gsw,v lac, 122-141,29:48,   23pt 4rb 4as 1st 8to 2trey 8-20fg 5-5ft
2019-10-24,SG,"Matthews, Wes",28.3,"3,900",mil,@ hou, 117-111,30:23,   14pt 4rb 1as 2st 1bl 1to 2trey 6-12fg
2019-10-24,PG,"Beverley, Patrick",27.3,"5,100",lac,@ gsw, 141-122,28:14,   5pt 4rb 3as 5st 2to 1trey 2-4fg
2019-10-24,PG,"Hill, George",24.5,"3,800",mil,@ hou, 117-111,30:47,   8pt 7as 2st 2trey 3-7fg
2019-10-24,SG,"Galloway, Langston",21.1,"3,500",det,v atl, 100-117,25:51,   8pt 3rb 3as 1st 1bl 1to 2trey 2-9fg 2-2ft
2019-10-24,SG,"Connaughton, Pat",20.8,"3,600",mil,@ hou, 117-111,16:48,   10pt 4rb 2as 1bl 2trey 4-8fg
2019-10-24,SG,"III, Jacob",20.3,"3,500",gsw,v lac, 122-141,21:43,   14pt 4rb 1as 4trey 5-9fg
2019-10-24,SG,"Turner, Evan",18,"3,600",atl,@ det, 117-100,16:48,   9pt 4as 1st 4-4fg 1-1ft
2019-10-24,PG,"Shamet, Landry",17.5,"4,000",lac,@ gsw, 141-122,33:56,   11pt 3as 1bl 1to 3trey 4-5fg
