Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-11-07,SG,"Williams, Louis",47.6,"6,700",lac,v por, 107-101,28:35,   26pt 3rb 8as 3bl 3to 1trey 7-16fg 11-12ft
2019-11-07,SG,"Butler, Jimmy",45,"9,300",mia,@ pho, 124-108,33:59,   34pt 5rb 4as 1to 2trey 11-16fg 10-10ft
2019-11-07,PG,"Lillard, Damian",44.2,"10,300",por,@ lac, 101-107,38:08,   22pt 6rb 6as 3st 3to 3trey 9-23fg 1-2ft
2019-11-07,PG,"Murray, Dejounte",42.6,"6,400",sas,v okc, 121-112,25:53,   17pt 8rb 10as 1st 2to 7-12fg 3-3ft
2019-11-07,SG,"Graham, Devonte",37.3,"6,200",cha,v bos, 87-108,30:19,   15pt 4rb 9as 2st 2to 2trey 5-14fg 3-5ft
2019-11-07,SG,"DeRozan, DeMar",36.7,"8,100",sas,v okc, 121-112,34:12,   16pt 6rb 9as 1st 3to 7-13fg 2-2ft
2019-11-07,PG,"Dragic, Goran",36.2,"5,300",mia,@ pho, 124-108,31:02,   25pt 6rb 4as 2to 5trey 9-16fg 2-3ft
2019-11-07,PG,"Rubio, Ricky",33.2,"7,000",pho,v mia, 108-124,29:43,   11pt 11rb 6as 1st 3to 1trey 4-11fg 2-2ft
2019-11-07,SG,"McCollum, CJ",32.9,"6,400",por,@ lac, 101-107,39:33,   22pt 7rb 3as 2to 1trey 9-23fg 3-3ft
2019-11-07,PG,"Paul, Chris",30.9,"7,300",okc,@ sas, 112-121,30:51,   19pt 2rb 5as 1st 1to 2trey 7-14fg 3-4ft
2019-11-07,SG,"Booker, Devin",30.1,"8,700",pho,v mia, 108-124,35:33,   22pt 3rb 5as 1st 6to 2trey 6-13fg 8-8ft
2019-11-07,PG,"Walker, Kemba",26.4,"9,500",bos,@ cha, 108-87,29:11,   14pt 2rb 6as 1st 2to 3trey 4-12fg 3-3ft
2019-11-07,SG,"Alexander, Shai",24.7,"8,200",okc,@ sas, 112-121,34:01,   21pt 1rb 3as 2to 9-18fg 3-3ft
2019-11-07,SG,"Schroder, Dennis",24.1,"5,800",okc,@ sas, 112-121,26:33,   11pt 3rb 9as 4to 1trey 4-11fg 2-2ft
2019-11-07,SG,"Herro, Tyler",23.4,"5,200",mia,@ pho, 124-108,28:55,   15pt 2rb 2as 1st 3trey 6-12fg
2019-11-07,PG,"Wanamaker, Brad",23.1,"3,500",bos,@ cha, 108-87,16:03,   9pt 3rb 3as 2st 1trey 3-4fg 2-2ft
2019-11-07,PG,"Simons, Anfernee",22.4,"3,600",por,@ lac, 101-107,26:07,   17pt 2rb 2as 3trey 5-13fg 4-6ft
2019-11-07,SG,"Forbes, Bryn",22.2,"4,300",sas,v okc, 121-112,22:32,   14pt 6rb 2as 2to 4trey 5-10fg
2019-11-07,SG,"Diallo, Hamidou",21.4,"4,800",okc,@ sas, 112-121,31:48,   11pt 2rb 2as 2st 1to 1trey 5-9fg
2019-11-07,SG,"Martin, Cody",21.1,"3,600",cha,v bos, 87-108,16:26,   7pt 3rb 3as 2st 2-4fg 3-3ft
2019-11-07,SG,"Smart, Marcus",20.9,"5,500",bos,@ cha, 108-87,22:14,   6pt 2rb 5as 2st 1to 1trey 2-8fg 1-1ft
2019-11-07,PG,"Beverley, Patrick",20.8,"5,300",lac,v por, 107-101,30:48,   2pt 4rb 4as 1st 2bl 1to 1-5fg
2019-11-07,SG,"Robinson, Duncan",20.7,"4,100",mia,@ pho, 124-108,27:37,   6pt 6rb 1as 1st 1bl 1trey 1-5fg 3-3ft
2019-11-07,SG,"Brown, Jaylen",20.5,"6,300",bos,@ cha, 108-87,32:07,   12pt 5rb 1as 1st 2to 5-9fg 2-2ft
2019-11-07,SG,"Bacon, Dwayne",17.3,"4,200",cha,v bos, 87-108,21:09,   8pt 4rb 1as 1st 1bl 3to 1trey 3-9fg 1-2ft
2019-11-07,PG,"Mills, Patty",16.9,"4,100",sas,v okc, 121-112,22:31,   10pt 2rb 1as 1st 2trey 4-8fg
2019-11-07,PG,"Nunn, Kendrick",14.4,"5,600",mia,@ pho, 124-108,22:27,   11pt 2rb 1bl 2to 1trey 5-9fg
2019-11-07,PG,"White, Derrick",14.1,"4,800",sas,v okc, 121-112,20:14,   8pt 3rb 3as 2to 3-6fg 2-2ft
2019-11-07,PG,"Carter, Jevon",13.4,"3,600",pho,v mia, 108-124,14:45,   2pt 2rb 2as 1st 1bl 1-3fg
2019-11-07,SG,"Green, Javonte",13.2,"3,500",bos,@ cha, 108-87,12:53,   12pt 1rb 5-9fg 2-2ft
2019-11-07,SG,"Ferguson, Terrance",12.6,"3,500",okc,@ sas, 112-121,20:47,   6pt 3rb 1bl 1trey 2-5fg 1-1ft
2019-11-07,PG,"Shamet, Landry",10.2,"3,700",lac,v por, 107-101,30:07,   8pt 1rb 1st 2to 2trey 2-4fg 2-2ft
2019-11-07,PG,"Johnson, Tyler",10.2,"3,500",pho,v mia, 108-124,16:02,   11pt 1rb 2to 2trey 3-6fg 3-4ft
2019-11-07,PG,"Rozier, Terry",8.6,"7,600",cha,v bos, 87-108,26:21,   3pt 3rb 2as 1st 4to 1-11fg 1-1ft
2019-11-07,SG,"Belinelli, Marco",8.1,"3,500",sas,v okc, 121-112,19:20,   3pt 3rb 1as 1trey 1-10fg
2019-11-07,PG,"Edwards, Carsen",7.1,"3,600",bos,@ cha, 108-87,11:35,   0pt 3rb 1as 1bl 1to 0-3fg
2019-11-07,SG,"Monk, Malik",5,"3,600",cha,v bos, 87-108,21:37,   4pt 2as 2to 1-3fg 2-2ft
2019-11-07,SG,"McGruder, Rodney",2.6,"3,500",lac,v por, 107-101,13:58,   0pt 3rb 1to 0-2fg
2019-11-07,SG,"Walker, Lonnie",0,"3,500",sas,v okc, 121-112,00:53,   0pt
2019-11-07,SG,"Okobo, Elie",0,"3,500",pho,v mia, 108-124,1:57,   0pt 0-2ft
2019-11-07,SG,"Burton, Deonte",0,"3,500",okc,@ sas, 112-121,0,   
2019-11-07,SG,"Jr, Gary",0,"3,500",por,@ lac, 101-107,0,   
2019-11-07,SG,"Mann, Terance",0,"3,500",lac,v por, 107-101,0,   
2019-11-07,PG,"Robinson, Jerome",0,"3,500",lac,v por, 107-101,0,   
2019-11-07,SG,"Hall, Devon",0,"3,500",okc,@ sas, 112-121,0,   
2019-11-07,PG,"Macon, Daryl",0,"3,500",mia,@ pho, 124-108,0,   
2019-11-07,PG,"Jr, Derrick",0,"3,500",lac,v por, 107-101,0,   
2019-11-07,SG,"Roberson, Andre",0,"3,500",okc,@ sas, 112-121,0,   
2019-11-07,SG,"Weatherspoon, Quinndary",0,"3,500",sas,v okc, 121-112,0,   
2019-11-07,SG,"Jerome, Ty",0,"3,500",pho,v mia, 108-124,0,   
2019-11-07,SG,"Dort, Luguentz",0,"3,500",okc,@ sas, 112-121,0,   
2019-11-07,PG,"Lecque, Jalen",0,"3,500",pho,v mia, 108-124,0,   
2019-11-07,SG,"Langford, Romeo",0,"3,500",bos,@ cha, 108-87,0,   
2019-11-07,PG,"Harper, Jared",0,"3,500",pho,v mia, 108-124,0,   
2019-11-07,PG,"Simmons, Kobi",0,"3,500",cha,v bos, 87-108,0,   
2019-11-07,PG,"Waters, Tremont",0,"3,500",bos,@ cha, 108-87,0,   
2019-11-07,PF,"Aldridge, LaMarcus",58.2,"8,000",sas,v okc, 121-112,34:14,   39pt 6rb 4as 2st 1bl 3to 19-23fg 1-2ft
2019-11-07,PF,"Adebayo, Bam",52,"8,400",mia,@ pho, 124-108,34:57,   15pt 10rb 6as 5st 1bl 2to 6-9fg 3-6ft
2019-11-07,SF,"Leonard, Kawhi",51.6,"10,800",lac,v por, 107-101,33:23,   27pt 13rb 4as 1st 2bl 6to 9-23fg 9-10ft
2019-11-07,SF,"Hayward, Gordon",44,"7,400",bos,@ cha, 108-87,29:11,   20pt 10rb 6as 1st 1trey 9-16fg 1-1ft
2019-11-07,PF,"Tatum, Jayson",43.3,"8,000",bos,@ cha, 108-87,28:53,   23pt 9rb 1as 2st 1bl 1to 4trey 8-17fg 3-4ft
2019-11-07,SF,"Gallinari, Danilo",39.5,"6,200",okc,@ sas, 112-121,32:10,   27pt 5rb 1as 2st 1to 5trey 7-10fg 8-9ft
2019-11-07,PF,"Washington, PJ",30.6,"6,400",cha,v bos, 87-108,27:26,   4pt 8rb 2as 5bl 1to 1-8fg 2-3ft
2019-11-07,SF,"Bridges, Miles",30.5,"5,300",cha,v bos, 87-108,33:21,   18pt 10rb 1as 1bl 4to 2trey 8-14fg
2019-11-07,SF,"Oubre, Kelly",26.9,"6,500",pho,v mia, 108-124,25:27,   15pt 2rb 3as 2bl 1to 1trey 5-10fg 4-7ft
2019-11-07,PF,"Noel, Nerlens",25.2,"4,500",okc,@ sas, 112-121,20:00,   7pt 6rb 2as 2st 1bl 1to 3-3fg 1-1ft
2019-11-07,PF,"Theis, Daniel",21.4,"4,900",bos,@ cha, 108-87,19:51,   5pt 7rb 2as 2bl 1to 2-8fg 1-2ft
2019-11-07,PF,"Saric, Dario",17.8,"5,100",pho,v mia, 108-124,29:09,   9pt 4rb 2as 1st 2to 2trey 3-9fg 1-1ft
2019-11-07,SF,"Bazemore, Kent",16.9,"4,000",por,@ lac, 101-107,13:21,   8pt 2rb 3as 1st 1to 2trey 3-7fg
2019-11-07,PF,"Williams, Marvin",16.8,"3,500",cha,v bos, 87-108,17:35,   9pt 4rb 1st 4-7fg 1-1ft
2019-11-07,SF,"Hood, Rodney",14.5,"4,400",por,@ lac, 101-107,29:55,   5pt 5rb 1as 1st 1to 1trey 2-5fg
2019-11-07,PF,"Lyles, Trey",14.3,"4,000",sas,v okc, 121-112,20:35,   8pt 4rb 1as 2trey 3-5fg
2019-11-07,SF,"Bridges, Mikal",13.4,"4,000",pho,v mia, 108-124,20:10,   5pt 7rb 1trey 2-8fg
2019-11-07,SF,"Johnson, Cameron",12.1,"3,500",pho,v mia, 108-124,19:14,   7pt 3rb 1as 1trey 2-5fg 2-2ft
2019-11-07,SF,"Gay, Rudy",11.9,"5,000",sas,v okc, 121-112,20:19,   6pt 2rb 1as 1bl 1to 2-4fg 2-2ft
2019-11-07,PF,"Patterson, Patrick",11.1,"3,500",lac,v por, 107-101,20:15,   6pt 3rb 1as 1trey 2-7fg 1-2ft
2019-11-07,PF,"Labissiere, Skal",11.1,"3,900",por,@ lac, 101-107,20:02,   4pt 3rb 1as 1bl 1to 2-3fg
2019-11-07,PF,"Green, JaMychal",10,"4,100",lac,v por, 107-101,15:45,   0pt 10rb 2to 0-5fg
2019-11-07,SF,"Hezonja, Mario",10,"4,500",por,@ lac, 101-107,24:42,   2pt 5rb 1st 1to 1-9fg
