Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-11-25,PG,"Young, Trae",50.7,"9,700",atl,v min, 113-125,34:34,   37pt 6rb 9as 7to 5trey 11-28fg 10-11ft
2019-11-25,PG,"Smart, Marcus",49.1,"6,400",bos,v sac, 103-102,36:42,   17pt 3rb 7as 5st 1bl 1trey 7-12fg 2-2ft
2019-11-25,SG,"Hield, Buddy",49,"7,200",sac,@ bos, 102-103,41:55,   41pt 5rb 2as 1bl 4to 11trey 15-26fg 0-1ft
2019-11-25,PG,"Bowman, Ky",46.1,"4,600",gsw,v okc, 97-100,38:33,   24pt 3rb 5as 3st 1bl 1to 2trey 9-17fg 4-4ft
2019-11-25,SG,"Dinwiddie, Spencer",45.7,"7,800",bkn,@ cle, 108-106,33:22,   23pt 1rb 9as 3bl 1to 1trey 10-24fg 2-2ft
2019-11-25,PG,"Morant, Ja",45.4,"7,900",mem,@ ind, 114-126,30:06,   19pt 2rb 10as 2st 1bl 6-15fg 7-8ft
2019-11-25,SG,"VanVleet, Fred",42.6,"7,700",tor,v phi, 101-96,37:46,   24pt 3rb 8as 2st 3to 3trey 9-15fg 3-4ft
2019-11-25,PG,"Simmons, Ben",40.8,"8,600",phi,@ tor, 96-101,40:42,   10pt 9rb 14as 2st 7to 4-8fg 2-2ft
2019-11-25,SG,"DeRozan, DeMar",39.3,"7,600",sas,v lal, 104-114,35:13,   24pt 4rb 5as 1bl 11-19fg 2-2ft
2019-11-25,PG,"Lillard, Damian",38.4,"9,500",por,@ chi, 117-94,27:15,   13pt 2rb 12as 2st 1to 1trey 4-10fg 4-4ft
2019-11-25,SG,"Butler, Jimmy",38.1,"9,600",mia,v cha, 117-100,31:05,   21pt 3rb 7as 1st 1bl 3to 6-11fg 9-9ft
2019-11-25,SG,"Wiggins, Andrew",37.7,"8,400",min,@ atl, 125-113,36:28,   25pt 6rb 1as 2st 2to 3trey 9-19fg 4-6ft
2019-11-25,PG,"Paul, Chris",35.9,"7,600",okc,@ gsw, 100-97,34:55,   20pt 7rb 5as 1st 3to 4trey 7-15fg 2-2ft
2019-11-25,SG,"Richardson, Josh",35.7,"6,000",phi,@ tor, 96-101,36:43,   25pt 6rb 1as 1bl 1to 5trey 9-19fg 2-5ft
2019-11-25,PG,"Rozier, Terry",34.3,"6,900",cha,@ mia, 100-117,32:21,   19pt 9rb 5as 3to 3trey 7-15fg 2-2ft
2019-11-25,PG,"Fultz, Markelle",33.3,"5,000",orl,@ det, 88-103,29:31,   16pt 4rb 3as 3st 1to 7-12fg 2-3ft
2019-11-25,PG,"Brogdon, Malcolm",33.2,"8,500",ind,v mem, 126-114,30:08,   14pt 6rb 8as 1st 3to 2trey 6-12fg
2019-11-25,SG,"Lamb, Jeremy",31.8,"6,300",ind,v mem, 126-114,30:55,   19pt 4rb 4as 1st 1to 3trey 8-16fg
2019-11-25,SG,"McCollum, CJ",31.1,"7,700",por,@ chi, 117-94,32:17,   21pt 3rb 3as 1bl 1to 2trey 8-16fg 3-3ft
2019-11-25,SG,"Clarkson, Jordan",29.9,"4,500",cle,v bkn, 106-108,26:06,   23pt 2rb 3as 5trey 8-17fg 2-3ft
2019-11-25,SG,"LaVine, Zach",29.7,"7,400",chi,v por, 94-117,29:56,   18pt 1rb 5as 2st 1bl 6to 1trey 6-13fg 5-7ft
2019-11-25,PG,"Nunn, Kendrick",29.4,"5,800",mia,v cha, 117-100,31:12,   19pt 2rb 4as 1st 1to 5trey 7-10fg
2019-11-25,SG,"Schroder, Dennis",28.7,"5,400",okc,@ gsw, 100-97,34:08,   22pt 1rb 5as 2to 4trey 9-17fg
2019-11-25,SG,"Alexander, Shai",28.5,"7,000",okc,@ gsw, 100-97,31:30,   12pt 5rb 3as 2st 1bl 3to 5-12fg 2-2ft
2019-11-25,SG,"Fournier, Evan",27.4,"5,900",orl,@ det, 88-103,37:26,   17pt 2rb 2as 2st 1to 5-16fg 7-8ft
2019-11-25,PG,"Teague, Jeff",27.4,"6,100",min,@ atl, 125-113,30:52,   8pt 2rb 8as 2st 1to 2-8fg 4-4ft
2019-11-25,SG,"Connaughton, Pat",27.2,"3,700",mil,v uta, 122-118,27:19,   11pt 6rb 2as 2bl 1trey 4-6fg 2-2ft
2019-11-25,SG,"Bogdanovic, Bogdan",27.2,"7,100",sac,@ bos, 102-103,29:03,   13pt 1rb 8as 1bl 2to 2trey 5-20fg 1-2ft
2019-11-25,SG,"Brooks, Dillon",26.9,"5,300",mem,@ ind, 114-126,31:41,   9pt 7rb 3as 2st 1to 1trey 4-13fg 0-1ft
2019-11-25,SG,"Mitchell, Donovan",26.7,"8,700",uta,@ mil, 118-122,34:09,   20pt 1rb 3as 2st 5to 3trey 7-17fg 3-3ft
2019-11-25,SG,"Poole, Jordan",26.2,"3,900",gsw,v okc, 97-100,24:22,   11pt 6rb 4as 1st 1to 2trey 3-13fg 3-4ft
2019-11-25,PG,"Holiday, Aaron",26.1,"5,900",ind,v mem, 126-114,17:52,   16pt 3rb 1as 2st 1to 4trey 6-9fg
2019-11-25,SG,"Forbes, Bryn",26.1,"4,700",sas,v lal, 104-114,29:26,   13pt 3rb 5as 1st 1to 3trey 5-11fg
2019-11-25,SG,"Graham, Devonte",25.6,"7,300",cha,@ mia, 100-117,34:10,   16pt 3rb 8as 6to 4-14fg 8-10ft
