Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-10-28,SG,"Harden, James",56.1,"11,100",hou,v okc, 116-112,36:52,   40pt 3rb 7as 1st 1bl 4to 3trey 8-21fg 21-22ft
2019-10-28,PG,"Lillard, Damian",54.3,"10,000",por,@ sas, 110-113,38:48,   28pt 9rb 7as 2bl 1to 3trey 9-28fg 7-8ft
2019-10-28,PG,"Curry, Stephen",54.1,"9,200",gsw,@ nor, 134-123,31:00,   26pt 3rb 11as 3st 1to 4trey 9-17fg 4-4ft
2019-10-28,PG,"Westbrook, Russell",46.9,"10,900",hou,v okc, 116-112,35:29,   21pt 12rb 9as 1st 5to 9-16fg 3-4ft
2019-10-28,SG,"Barrett, RJ",45.5,"6,700",nyk,v chi, 105-98,40:02,   19pt 15rb 5as 1bl 2to 7-15fg 5-11ft
2019-10-28,PG,"Brogdon, Malcolm",45.1,"7,600",ind,@ det, 94-96,34:39,   15pt 8rb 11as 2st 2to 1trey 5-17fg 4-4ft
2019-10-28,SG,"Russell, D",41.4,"7,600",gsw,@ nor, 134-123,33:39,   24pt 7rb 8as 3to 3trey 9-21fg 3-6ft
2019-10-28,SG,"McCollum, CJ",40.1,"6,200",por,@ sas, 110-113,37:33,   27pt 3rb 5as 1bl 1to 3trey 10-22fg 4-5ft
2019-10-28,PG,"Hill, George",39.1,"4,000",mil,v cle, 129-112,19:22,   19pt 8rb 3as 2st 1trey 7-10fg 4-7ft
2019-10-28,PG,"Lowry, Kyle",39,"7,800",tor,v orl, 104-95,38:11,   26pt 5rb 6as 2to 3trey 7-18fg 9-10ft
2019-10-28,SG,"Alexander, Shai",38.8,"7,900",okc,@ hou, 112-116,35:55,   22pt 9rb 4as 2trey 8-21fg 4-4ft
2019-10-28,SG,"Schroder, Dennis",38.5,"4,600",okc,@ hou, 112-116,33:51,   22pt 5rb 7as 1st 3to 4trey 8-13fg 2-3ft
2019-10-28,SG,"Lee, Damion",37.2,"3,500",gsw,@ nor, 134-123,27:52,   23pt 11rb 2as 2to 4trey 8-14fg 3-3ft
2019-10-28,PG,"Fox, De",37.1,"7,700",sac,v den, 94-101,36:18,   20pt 3rb 9as 1st 3to 3trey 7-17fg 3-6ft
2019-10-28,SG,"DeRozan, DeMar",36.4,"7,900",sas,v por, 113-110,33:26,   27pt 7rb 2st 5to 10-16fg 7-9ft
2019-10-28,PG,"Young, Trae",36.3,"9,400",atl,v phi, 103-105,34:30,   25pt 4rb 9as 7to 2trey 7-20fg 9-10ft
2019-10-28,SG,"Walker, Nickeil",35.3,"3,600",nor,v gsw, 123-134,23:45,   15pt 4rb 9as 1st 1to 2trey 6-11fg 1-2ft
2019-10-28,SG,"Mitchell, Donovan",34.9,"8,400",uta,@ pho, 96-95,37:06,   25pt 2rb 3as 2st 3to 3trey 9-24fg 4-8ft
2019-10-28,PG,"Ball, Lonzo",34.3,"6,900",nor,v gsw, 123-134,31:05,   12pt 4rb 9as 2st 2to 2trey 4-10fg 2-2ft
2019-10-28,SG,"Williams, Louis",33.8,"7,000",lac,v cha, 111-96,28:59,   23pt 4rb 4as 1st 3to 2trey 7-17fg 7-9ft
2019-10-28,SG,"LaVine, Zach",33.5,"8,000",chi,@ nyk, 98-105,35:36,   21pt 5rb 3as 1st 1bl 4to 2trey 8-18fg 3-4ft
2019-10-28,PG,"Graham, Devonte",33.2,"5,800",cha,@ lac, 96-111,31:58,   14pt 1rb 12as 1bl 3to 2trey 5-11fg 2-2ft
2019-10-28,PG,"Bledsoe, Eric",32.8,"6,400",mil,v cle, 129-112,26:24,   14pt 4rb 8as 1st 1to 6-16fg 2-3ft
2019-10-28,SG,"Middleton, Khris",32.6,"7,700",mil,v cle, 129-112,28:41,   21pt 8rb 2as 1st 4to 3trey 9-14fg
2019-10-28,PG,"Rubio, Ricky",32,"7,000",pho,v uta, 95-96,28:11,   10pt 10rb 8as 2to 4-9fg 2-4ft
2019-10-28,SG,"VanVleet, Fred",32,"6,600",tor,v orl, 104-95,38:40,   14pt 5rb 6as 2st 3to 1trey 3-14fg 7-7ft
2019-10-28,PG,"White, Derrick",31.5,"4,700",sas,v por, 113-110,25:40,   21pt 5rb 3as 8-11fg 5-6ft
2019-10-28,PG,"Simmons, Ben",31.2,"9,700",phi,@ atl, 105-103,37:49,   13pt 6rb 6as 1st 1bl 4to 6-11fg 1-2ft
2019-10-28,SG,"Richardson, Josh",30.5,"5,800",phi,@ atl, 105-103,30:49,   14pt 5rb 3as 3bl 3to 2trey 6-14fg
2019-10-28,PG,"Murray, Dejounte",29.4,"7,000",sas,v por, 113-110,22:20,   7pt 7rb 8as 1st 1bl 4to 3-8fg 1-2ft
2019-10-28,PG,"Carter, Jevon",28.3,"3,800",pho,v uta, 95-96,26:32,   15pt 4rb 3as 2st 2to 3trey 4-11fg 4-4ft
2019-10-28,PG,"Murray, Jamal",28.3,"7,300",den,@ sac, 101-94,30:58,   18pt 4rb 3as 1st 2to 2trey 6-14fg 4-4ft
2019-10-28,SG,"Connaughton, Pat",27.8,"3,600",mil,v cle, 129-112,20:55,   17pt 4rb 4as 4trey 6-8fg 1-1ft
2019-10-28,PG,"Paul, Chris",27,"7,600",okc,@ hou, 112-116,33:55,   15pt 5rb 4as 2st 6to 3trey 6-14fg 0-2ft
2019-10-28,SG,"Harris, Gary",26.8,"4,900",den,@ sac, 101-94,29:12,   17pt 4rb 2as 1st 1to 3trey 5-9fg 4-4ft
2019-10-28,SG,"Booker, Devin",26.6,"9,100",pho,v uta, 95-96,29:02,   21pt 3rb 1st 1bl 4to 1trey 9-16fg 2-2ft
2019-10-28,PG,"Rozier, Terry",24.6,"6,200",cha,@ lac, 96-111,34:05,   17pt 3rb 2as 1st 1bl 5to 3trey 7-17fg
2019-10-28,SG,"Fournier, Evan",23.8,"5,900",orl,@ tor, 95-104,28:52,   18pt 4rb 2as 2to 1trey 7-15fg 3-3ft
2019-10-28,PG,"Shamet, Landry",23.8,"4,000",lac,v cha, 111-96,35:13,   16pt 4rb 2as 1st 3to 4trey 6-12fg
2019-10-28,SG,"Matthews, Wes",23.6,"4,300",mil,v cle, 129-112,28:27,   14pt 3rb 2as 1st 2trey 5-9fg 2-2ft
