Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-12-01,PG,"Doncic, Luka",54.8,"12,200",dal,@ lal, 114-100,32:41,   27pt 9rb 10as 3st 7to 4trey 10-23fg 3-3ft
2019-12-01,SG,"Wright, Delon",48.5,"4,300",dal,@ lal, 114-100,27:33,   17pt 5rb 9as 4st 3trey 7-12fg
2019-12-01,PG,"VanVleet, Fred",46.5,"8,200",tor,v uta, 130-110,32:27,   21pt 5rb 11as 1st 5trey 6-10fg 4-4ft
2019-12-01,SG,"Beal, Bradley",46.5,"9,400",was,@ lac, 125-150,34:39,   23pt 5rb 11as 2st 5to 7-19fg 9-10ft
2019-12-01,SG,"Wiggins, Andrew",41.7,"8,300",min,v mem, 107-115,35:02,   18pt 6rb 7as 1st 2bl 3to 1trey 6-17fg 5-5ft
2019-12-01,PG,"Dinwiddie, Spencer",41.2,"8,700",bkn,v mia, 106-109,34:11,   29pt 6rb 4as 1st 4to 4trey 10-21fg 5-5ft
2019-12-01,SG,"Hart, Josh",38.2,"4,500",nor,v okc, 104-107,33:08,   11pt 11rb 2as 2st 2bl 1to 3trey 4-8fg
2019-12-01,SG,"Powell, Norman",37.5,"5,500",tor,v uta, 130-110,32:49,   15pt 5rb 3as 4st 2trey 6-12fg 1-1ft
2019-12-01,PG,"Melton, De",37.4,"3,500",mem,@ min, 115-107,22:35,   9pt 7rb 8as 2st 1bl 1to 1trey 2-10fg 4-4ft
2019-12-01,SG,"Fournier, Evan",36.6,"6,300",orl,v gsw, 100-96,34:34,   32pt 3rb 1st 2to 6trey 13-21fg
2019-12-01,PG,"Walker, Kemba",36,"7,500",bos,@ nyk, 113-104,33:18,   16pt 5rb 10as 1st 4to 3trey 6-18fg 1-2ft
2019-12-01,SG,"Holiday, Jrue",35.6,"7,900",nor,v okc, 104-107,35:48,   26pt 3rb 4as 3trey 10-19fg 3-3ft
2019-12-01,SG,"Butler, Jimmy",35.4,"9,200",mia,@ bkn, 109-106,35:15,   20pt 7rb 2as 1st 1bl 2to 1trey 5-17fg 9-10ft
2019-12-01,PG,"Fultz, Markelle",35.3,"5,600",orl,v gsw, 100-96,30:00,   14pt 4rb 9as 1st 6-12fg 2-3ft
