Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-12-13,SG,"Harden, James",82.5,"12,200",hou,@ orl, 130-107,36:14,   54pt 5rb 7as 2st 3bl 3to 10trey 19-31fg 6-6ft
2019-12-13,PG,"Simmons, Ben",58.1,"8,800",phi,v nor, 116-109,37:30,   24pt 3rb 11as 3st 2bl 1to 9-15fg 6-10ft
2019-12-13,SG,"Hield, Buddy",49.9,"7,500",sac,v nyk, 101-103,36:23,   34pt 12rb 3as 3to 6trey 14-23fg
2019-12-13,PG,"Young, Trae",44.4,"9,600",atl,v ind, 100-110,37:22,   23pt 7rb 8as 1bl 2to 3trey 9-30fg 2-2ft
2019-12-13,PG,"Brogdon, Malcolm",43.6,"7,800",ind,@ atl, 110-100,32:09,   19pt 8rb 12as 3to 1trey 7-16fg 4-6ft
2019-12-13,SG,"Butler, Jimmy",41.1,"9,700",mia,v lal, 110-113,37:09,   23pt 3rb 3as 4st 2to 9-20fg 5-6ft
2019-12-13,SG,"Mitchell, Donovan",40.3,"8,600",uta,v gsw, 114-106,35:25,   28pt 4rb 3as 1st 1bl 3to 3trey 10-19fg 5-7ft
2019-12-13,SG,"Wiggins, Andrew",39.6,"7,500",min,v lac, 117-124,39:20,   34pt 3rb 2as 1st 4to 2trey 12-20fg 8-8ft
2019-12-13,PG,"Westbrook, Russell",38.4,"10,300",hou,@ orl, 130-107,34:32,   23pt 7rb 6as 2to 1trey 9-18fg 4-4ft
2019-12-13,SG,"Fournier, Evan",37.4,"6,700",orl,v hou, 107-130,24:34,   27pt 2rb 2as 2st 1to 6trey 10-18fg 1-2ft
2019-12-13,PG,"Teague, Jeff",36.3,"5,000",min,v lac, 117-124,32:34,   22pt 4rb 5as 1bl 1to 6-9fg 10-11ft
2019-12-13,SG,"Holiday, Jrue",35.2,"7,600",nor,@ phi, 109-116,34:34,   12pt 6rb 10as 1bl 2to 4-18fg 4-5ft
2019-12-13,SG,"Graham, Devonte",34.5,"7,900",cha,@ chi, 83-73,37:02,   16pt 5rb 7as 3st 7to 2trey 4-14fg 6-6ft
2019-12-13,PG,"Nunn, Kendrick",33.9,"5,500",mia,v lal, 110-113,35:46,   16pt 2rb 7as 2st 1to 2trey 7-15fg
2019-12-13,SG,"Russell, D",32.6,"8,300",gsw,@ uta, 106-114,30:21,   18pt 3rb 4as 3st 4to 2trey 8-20fg
2019-12-13,PG,"Rozier, Terry",31.1,"7,400",cha,@ chi, 83-73,36:12,   11pt 8rb 5as 2st 3to 1trey 5-15fg 0-1ft
2019-12-13,SG,"Middleton, Khris",31.1,"6,700",mil,@ mem, 127-114,35:04,   26pt 3rb 3as 1st 6to 3trey 10-19fg 3-3ft
2019-12-13,PG,"Payton, Elfrid",29.8,"4,400",nyk,@ sac, 103-101,27:04,   16pt 4rb 4as 1st 1trey 7-13fg 1-2ft
2019-12-13,SG,"Redick, JJ",28.1,"4,000",nor,@ phi, 109-116,34:10,   19pt 3rb 3as 1st 2to 3trey 6-15fg 4-5ft
2019-12-13,SG,"III, Jacob",27.4,"3,500",gsw,@ uta, 106-114,27:23,   13pt 2rb 2as 1st 2bl 1trey 4-14fg 4-4ft
2019-12-13,PG,"Melton, De",26.5,"4,100",mem,v mil, 114-127,23:10,   4pt 5rb 5as 2st 1bl 2-9fg
2019-12-13,SG,"Ross, Terrence",26.2,"5,300",orl,v hou, 107-130,27:29,   13pt 1rb 2as 1st 2bl 2trey 4-10fg 3-3ft
2019-12-13,SG,"LaVine, Zach",25.6,"8,100",chi,v cha, 73-83,35:15,   12pt 8rb 2as 1st 2to 1trey 4-19fg 3-3ft
2019-12-13,PG,"Jones, Tyus",24.9,"4,300",mem,v mil, 114-127,24:50,   10pt 2rb 7as 1st 1to 1trey 4-8fg 1-1ft
2019-12-13,SG,"Brooks, Dillon",24.9,"5,000",mem,v mil, 114-127,34:45,   19pt 2rb 3as 1bl 4to 4trey 6-17fg 3-4ft
2019-12-13,SG,"Lee, Damion",24.6,"3,500",gsw,@ uta, 106-114,25:57,   21pt 3rb 3trey 7-11fg 4-6ft
