Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-11-18,PG,"Doncic, Luka",68.2,"11,400",dal,v sas, 117-110,35:15,   42pt 11rb 12as 5to 5trey 14-27fg 9-13ft
2019-11-18,PG,"Westbrook, Russell",62.6,"9,400",hou,v por, 132-108,34:16,   28pt 13rb 10as 2st 1bl 5to 3trey 9-26fg 7-9ft
2019-11-18,SG,"Harden, James",53.7,"12,500",hou,v por, 132-108,33:06,   36pt 6rb 5as 1st 1bl 3to 5trey 11-19fg 9-10ft
2019-11-18,SG,"DeRozan, DeMar",53.6,"7,600",sas,@ dal, 110-117,33:35,   36pt 8rb 4as 1st 1to 14-20fg 8-8ft
2019-11-18,SG,"Dinwiddie, Spencer",49,"5,800",bkn,v ind, 86-115,33:26,   28pt 5rb 8as 1st 1bl 3to 4trey 9-21fg 6-7ft
2019-11-18,PG,"Holiday, Aaron",48.7,"4,100",ind,@ bkn, 115-86,30:42,   24pt 6rb 13as 2to 4trey 10-19fg
2019-11-18,PG,"Paul, Chris",43.8,"7,000",okc,@ lac, 88-90,33:20,   22pt 4rb 4as 4st 1to 2trey 5-10fg 10-11ft
2019-11-18,PG,"Teague, Jeff",40.3,"6,200",min,@ uta, 112-102,35:35,   21pt 4rb 11as 2to 1trey 7-18fg 6-7ft
2019-11-18,SG,"McCollum, CJ",39.5,"7,300",por,@ hou, 108-132,36:57,   25pt 5rb 3as 2st 2to 5trey 10-19fg
2019-11-18,SG,"VanVleet, Fred",37.8,"7,800",tor,v cha, 132-96,30:47,   11pt 4rb 8as 4st 2to 2trey 3-12fg 3-4ft
2019-11-18,PG,"Dunn, Kris",37.7,"4,600",chi,v mil, 101-115,25:03,   8pt 6rb 9as 1st 2bl 4-8fg
2019-11-18,SG,"DiVincenzo, Donte",34.8,"4,100",mil,@ chi, 115-101,28:43,   15pt 4rb 4as 3st 3trey 5-9fg 2-2ft
2019-11-18,SG,"Smart, Marcus",33.6,"6,500",bos,@ pho, 99-85,29:47,   17pt 3rb 4as 2st 1bl 2to 3trey 5-12fg 4-4ft
2019-11-18,SG,"Powell, Norman",33.4,"4,600",tor,v cha, 132-96,25:15,   17pt 2rb 6as 2st 1to 2trey 7-15fg 1-2ft
2019-11-18,PG,"Lillard, Damian",32.7,"9,800",por,@ hou, 108-132,34:31,   13pt 6rb 11as 4to 1trey 4-15fg 4-4ft
2019-11-18,PG,"Conley, Mike",30.2,"6,400",uta,v min, 102-112,34:07,   15pt 6rb 6as 1to 1trey 6-15fg 2-3ft
2019-11-18,SG,"Barrett, RJ",29.9,"7,100",nyk,v cle, 123-105,24:13,   15pt 2rb 1as 2st 2bl 1to 1trey 5-13fg 4-5ft
2019-11-18,SG,"Mitchell, Donovan",29.4,"8,600",uta,v min, 102-112,33:50,   17pt 7rb 2as 1bl 2to 2trey 5-23fg 5-7ft
2019-11-18,SG,"Davis, Terence",28.7,"3,700",tor,v cha, 132-96,20:40,   16pt 1rb 7as 1st 2to 4trey 5-7fg 2-2ft
2019-11-18,PG,"Wanamaker, Brad",28.2,"3,800",bos,@ pho, 99-85,29:31,   10pt 1rb 6as 3st 1to 2trey 4-9fg
2019-11-18,SG,"Temple, Garrett",27.7,"3,900",bkn,v ind, 86-115,32:15,   10pt 6rb 3as 2bl 2trey 4-10fg 0-1ft
2019-11-18,PG,"Bledsoe, Eric",27.7,"7,900",mil,@ chi, 115-101,28:58,   8pt 6rb 5as 1st 1bl 1to 1trey 2-11fg 3-5ft
2019-11-18,SG,"Williams, Louis",26.7,"7,700",lac,v okc, 90-88,32:21,   11pt 1rb 9as 1st 2to 1trey 5-12fg
2019-11-18,SG,"Brown, Sterling",26,"3,700",mil,@ chi, 115-101,24:31,   8pt 5rb 6as 1st 2trey 2-6fg 2-3ft
2019-11-18,PG,"Walker, Kemba",25.9,"9,100",bos,@ pho, 99-85,29:54,   19pt 2rb 5as 3to 1trey 9-19fg
2019-11-18,PG,"White, Coby",24.1,"5,400",chi,v mil, 101-115,24:36,   13pt 3rb 3as 1st 3trey 5-15fg
2019-11-18,SG,"LaVine, Zach",23.6,"7,400",chi,v mil, 101-115,27:56,   11pt 8rb 4as 3to 2trey 4-16fg 1-2ft
2019-11-18,PG,"Beverley, Patrick",22.8,"4,900",lac,v okc, 90-88,34:29,   9pt 4rb 3st 3trey 3-7fg
2019-11-18,SG,"Booker, Devin",22.2,"8,900",pho,v bos, 85-99,34:05,   20pt 1rb 4as 5to 2trey 7-13fg 4-4ft
2019-11-18,SG,"Long, Nazareth",22.1,"3,500",ind,@ bkn, 115-86,25:33,   12pt 3rb 3as 1st 1to 2trey 5-10fg
2019-11-18,PG,"Hill, George",21.8,"4,000",mil,@ chi, 115-101,26:50,   18pt 4rb 1to 4trey 5-9fg 4-4ft
2019-11-18,SG,"Graham, Devonte",21.4,"7,200",cha,@ tor, 96-132,26:07,   11pt 2rb 6as 1st 4to 3trey 4-9fg
2019-11-18,SG,"Wright, Delon",20.5,"4,800",dal,v sas, 117-110,24:53,   4pt 5rb 1as 1st 2bl 1-4fg 2-2ft
2019-11-18,PG,"Arcidiacono, Ryan",19.6,"3,600",chi,v mil, 101-115,27:15,   12pt 3rb 2as 1st 2to 4trey 4-7fg
2019-11-18,SG,"Clarkson, Jordan",19.4,"4,900",cle,@ nyk, 105-123,23:33,   13pt 2rb 4as 2to 3trey 5-7fg
2019-11-18,SG,"Schroder, Dennis",18.8,"5,700",okc,@ lac, 88-90,29:06,   12pt 4rb 2as 1bl 4to 6-17fg
2019-11-18,PG,"Knight, Brandon",18.6,"3,500",cle,@ nyk, 105-123,12:00,   12pt 3rb 2as 4trey 4-8fg
2019-11-18,PG,"Murray, Dejounte",18.5,"6,700",sas,@ dal, 110-117,25:21,   8pt 5rb 3as 4-11fg
2019-11-18,SG,"Ferguson, Terrance",18.4,"3,500",okc,@ lac, 88-90,35:21,   5pt 7rb 2st 1to 1trey 2-5fg
2019-11-18,PG,"Ntilikina, Frank",18.2,"4,300",nyk,v cle, 123-105,29:06,   6pt 1rb 6as 1st 1to 3-7fg
2019-11-18,SG,"Forbes, Bryn",17.4,"4,200",sas,@ dal, 110-117,31:06,   13pt 2rb 1st 1to 3trey 4-9fg 2-2ft
2019-11-18,PG,"Sexton, Collin",17.1,"5,700",cle,@ nyk, 105-123,25:45,   14pt 3rb 1as 2to 1trey 5-13fg 3-5ft
2019-11-18,PG,"Johnson, Tyler",16.8,"3,500",pho,v bos, 85-99,24:38,   6pt 4rb 2as 1st 1bl 3to 3-6fg
2019-11-18,PG,"Carter, Jevon",16.4,"3,500",pho,v bos, 85-99,24:27,   3pt 2rb 2as 1st 2bl 1to 1trey 1-2fg
2019-11-18,PG,"Rozier, Terry",16.1,"7,200",cha,@ tor, 96-132,26:23,   10pt 3rb 3as 2to 2trey 4-11fg
2019-11-18,PG,"Brunson, Jalen",15.7,"4,000",dal,v sas, 117-110,13:17,   11pt 1rb 1as 1st 1to 1trey 5-9fg
2019-11-18,PG,"Curry, Seth",14.2,"3,600",dal,v sas, 117-110,26:33,   7pt 1rb 4as 1trey 3-6fg
2019-11-18,PG,"Simons, Anfernee",14.2,"4,400",por,@ hou, 108-132,21:56,   10pt 1rb 2as 1trey 3-10fg 3-4ft
2019-11-18,PG,"Garland, Darius",13.4,"4,500",cle,@ nyk, 105-123,29:23,   10pt 2rb 2as 2to 2trey 4-9fg 0-2ft
2019-11-18,SG,"Belinelli, Marco",13.1,"3,500",sas,@ dal, 110-117,19:00,   5pt 3rb 3as 1trey 2-8fg
2019-11-18,PG,"Rivers, Austin",12.6,"4,300",hou,v por, 132-108,21:21,   5pt 3rb 2st 2to 1trey 2-5fg 0-1ft
2019-11-18,SG,"Dotson, Damyean",12.2,"3,600",nyk,v cle, 123-105,18:01,   11pt 1rb 1trey 5-10fg
2019-11-18,SG,"Thomas, Matt",11.7,"3,500",tor,v cha, 132-96,15:33,   6pt 1rb 1as 1st 2trey 2-5fg
2019-11-18,SG,"McLemore, Ben",11.2,"4,400",hou,v por, 132-108,26:10,   2pt 6rb 2as 1to 1-8fg
2019-11-18,SG,"Monk, Malik",11.1,"4,700",cha,@ tor, 96-132,22:30,   7pt 3rb 3as 4to 2-9fg 3-4ft
2019-11-18,SG,"Pinson, Theo",10.9,"3,500",bkn,v ind, 86-115,16:17,   8pt 2rb 1as 1to 2trey 3-11fg
2019-11-18,PG,"Jr, Dennis",10.9,"3,600",nyk,v cle, 123-105,18:54,   8pt 2rb 1as 1to 3-6fg 2-2ft
2019-11-18,PG,"Mudiay, Emmanuel",10.7,"3,900",uta,v min, 102-112,14:02,   4pt 1rb 1as 1st 1bl 2to 2-4fg
2019-11-18,PG,"Clemons, Chris",10.5,"4,100",hou,v por, 132-108,8:11,   6pt 1as 1bl 2trey 2-5fg
