Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-10-22,PG,"VanVleet, Fred",54.5,"5,600",tor,v nor, 130-122,44:21,   34pt 5rb 7as 2st 2to 5trey 12-18fg 5-6ft
2019-10-22,SG,"Green, Danny",45.4,"4,600",lal,@ lac, 102-112,32:20,   28pt 7rb 2st 1bl 7trey 10-14fg 1-1ft
2019-10-22,PG,"Lowry, Kyle",39,"7,600",tor,v nor, 130-122,44:59,   22pt 5rb 6as 2st 4to 3trey 4-15fg 11-13ft
2019-10-22,SG,"Williams, Louis",38.5,"6,200",lac,v lal, 112-102,36:44,   21pt 5rb 7as 1st 2to 1trey 8-14fg 4-4ft
2019-10-22,SG,"Hart, Josh",30.5,"4,200",nor,@ tor, 122-130,28:10,   15pt 10rb 1as 1bl 1to 3trey 4-9fg 4-4ft
2019-10-22,SG,"Holiday, Jrue",27.8,"8,700",nor,@ tor, 122-130,41:05,   13pt 4rb 6as 2bl 5to 1trey 6-15fg 0-2ft
2019-10-22,PG,"Beverley, Patrick",24,"5,100",lac,v lal, 112-102,31:22,   2pt 10rb 6as 1bl 2to 1-7fg
2019-10-22,PG,"Ball, Lonzo",20.5,"7,100",nor,@ tor, 122-130,24:50,   8pt 5rb 5as 1to 2trey 2-7fg 2-2ft
2019-10-22,SG,"Davis, Terence",20,"3,500",tor,v nor, 130-122,15:10,   5pt 5rb 2as 2st 1trey 2-6fg
2019-10-22,SG,"Redick, JJ",16.9,"4,800",nor,@ tor, 122-130,27:03,   16pt 2rb 1as 3to 4trey 6-9fg
2019-10-22,SG,"Walker, Nickeil",15.8,"3,600",nor,@ tor, 122-130,11:55,   3pt 4rb 2as 2st 1to 1trey 1-10fg
2019-10-22,SG,"Powell, Norman",15.6,"3,900",tor,v nor, 130-122,28:38,   5pt 8rb 2as 2to 1trey 2-7fg
2019-10-22,PG,"Shamet, Landry",14.6,"4,200",lac,v lal, 112-102,26:26,   8pt 3rb 2as 2trey 3-8fg
2019-10-22,SG,"Bradley, Avery",9.6,"4,000",lal,@ lac, 102-112,24:02,   8pt 3rb 2to 2trey 3-7fg
2019-10-22,PG,"Jackson, Frank",9.5,"3,900",nor,@ tor, 122-130,13:51,   9pt 1as 1to 1trey 3-6fg 2-2ft
2019-10-22,PG,"Cook, Quinn",7.2,"3,500",lal,@ lac, 102-112,16:56,   4pt 1rb 2as 1to 2-7fg
2019-10-22,SG,"Pope, Kentavious",7.1,"3,900",lal,@ lac, 102-112,27:23,   0pt 3rb 3as 1to 0-3fg
2019-10-22,SG,"Daniels, Troy",6.5,"3,600",lal,@ lac, 102-112,16:14,   6pt 1as 1to 1trey 2-6fg 1-1ft
2019-10-22,SG,"Jr, Zach",0,"3,500",lal,@ lac, 102-112,0,   
2019-10-22,PG,"Caruso, Alex",0,"4,400",lal,@ lac, 102-112,0,   
2019-10-22,SG,"Thomas, Matt",0,"3,500",tor,v nor, 130-122,0,   
2019-10-22,SG,"Mann, Terance",0,"3,500",lac,v lal, 112-102,0,   
2019-10-22,PG,"Robinson, Jerome",0,"3,500",lac,v lal, 112-102,0,   
2019-10-22,PG,"Rondo, Rajon",0,"4,900",lal,@ lac, 102-112,0,   
2019-10-22,PG,"Jr, Derrick",0,"3,500",lac,v lal, 112-102,0,   
2019-10-22,SG,"Tucker, Talen",0,"3,500",lal,@ lac, 102-112,0,   
2019-10-22,PG,"Gray, Josh",0,"3,500",nor,@ tor, 122-130,0,   
2019-10-22,SG,"McGruder, Rodney",0,"3,500",lac,v lal, 112-102,0,   
2019-10-22,SG,"McCaw, Patrick",0,"3,500",tor,v nor, 130-122,0,   
2019-10-22,SF,"Siakam, Pascal",62.1,"8,000",tor,v nor, 130-122,38:09,   34pt 18rb 5as 1bl 4to 2trey 11-26fg 10-11ft
2019-10-22,PF,"Davis, Anthony",50.5,"12,100",lal,@ lac, 102-112,37:22,   25pt 10rb 5as 1st 2bl 3to 8-21fg 9-14ft
2019-10-22,SF,"Leonard, Kawhi",47.7,"9,900",lac,v lal, 112-102,31:33,   30pt 6rb 5as 2st 1bl 6to 1trey 10-19fg 9-10ft
2019-10-22,SF,"Ingram, Brandon",42.5,"6,300",nor,@ tor, 122-130,35:06,   22pt 5rb 5as 1st 2bl 2to 2trey 8-19fg 4-4ft
2019-10-22,SF,"James, LeBron",41.8,"11,400",lal,@ lac, 102-112,36:00,   18pt 9rb 8as 1st 1bl 5to 1trey 7-19fg 3-4ft
