Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-11-03,Isaiah Thomas,PG,8000,35.417528846458296,39.6,0,1.0,1.0
2016-11-03,Elfrid Payton,PG,6200,31.14337676597115,25.1,0,1.0,1.0
2016-11-03,Evan Fournier,SG,6000,32.44395911457908,28.7,0,2.0,1.0
2016-11-03,Avery Bradley,SG,6700,35.743291596954165,40.0,0,2.0,1.0
2016-11-03,Andrew Wiggins,SF,6300,32.040633263142034,29.1,0,3.0,1.0
2016-11-03,Danilo Gallinari,SF,6700,34.01364687487302,27.0,0,3.0,1.0
2016-11-03,Jabari Parker,PF,5800,31.332173569390374,39.1,0,4.0,1.0
2016-11-03,Serge Ibaka,PF,5600,29.37697158705869,22.6,0,4.0,1.0
2016-11-03,Karl-Anthony Towns,C,8600,39.854275162355,55.8,0,5.0,1.0
