Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-01,Elfrid Payton,PG,5900,25.632015049435626,15.1,1,1.0,1.0
2017-01-01,Dennis Schroder,PG,6500,25.632015049435626,32.4,1,1.0,1.0
2017-01-01,Kyle Korver,SG,3700,23.769170333123807,33.6,1,2.0,1.0
2017-01-01,Allen Crabbe,SG,3700,23.769170333123807,21.1,1,2.0,1.0
2017-01-01,Andrew Wiggins,SF,6900,22.83922949461473,28.5,1,3.0,1.0
2017-01-01,Jeff Green,SF,3500,22.83922949461473,21.4,1,3.0,1.0
2017-01-01,LaMarcus Aldridge,PF,7000,24.824770889487876,49.6,1,4.0,1.0
2017-01-01,Thaddeus Young,PF,5300,24.824770889487876,16.1,1,4.0,1.0
2017-01-01,Willie Reed,C,3500,28.458449883449926,11.4,1,5.0,1.0
