Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-15,Darren Collison,PG,4400,25.633523075575784,28.2,1,1.0,1.0
2017-01-15,Brandon Jennings,PG,4600,25.633523075575784,21.9,1,1.0,1.0
2017-01-15,Zach LaVine,SG,6200,23.773333857277585,19.5,1,2.0,1.0
2017-01-15,Seth Curry,SG,4000,23.773333857277585,15.6,1,2.0,1.0
2017-01-15,Michael Beasley,SF,4500,22.835177046189564,19.1,1,3.0,1.0
2017-01-15,Bojan Bogdanovic,SF,4400,22.835177046189564,8.4,1,3.0,1.0
2017-01-15,Bobby Portis,PF,3500,24.82404528708776,10.0,1,4.0,1.0
2017-01-15,Domantas Sabonis,PF,3500,24.82404528708776,11.1,1,4.0,1.0
2017-01-15,Timofey Mozgov,C,3500,28.464388195497538,11.6,1,5.0,1.0
