Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-11-14,Marcus Smart,PG,5100,25.63225043782836,32.7,1,1.0,1.0
2016-11-14,Sergio Rodriguez,PG,5100,25.63225043782836,16.4,1,1.0,1.0
2016-11-14,Avery Bradley,SG,7000,23.774776049033452,30.5,1,2.0,1.0
2016-11-14,Manu Ginobili,SG,3500,23.774776049033452,11.8,1,2.0,1.0
2016-11-14,Aaron Gordon,SF,5600,22.836320676504695,16.1,1,3.0,1.0
2016-11-14,Marcus Morris Sr.,SF,5600,22.836320676504695,21.7,1,3.0,1.0
2016-11-14,Marreese Speights,PF,3600,24.83245503597121,26.7,1,4.0,1.0
2016-11-14,Serge Ibaka,PF,5200,24.83245503597121,22.6,1,4.0,1.0
2016-11-14,Joffrey Lauvergne,C,3500,28.47281315605328,9.5,1,5.0,1.0
