Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-11-14,Tony Parker,PG,4300,25.63225043782836,23.6,1,1.0,1.0
2016-11-14,Chris Paul,PG,9200,25.63225043782836,48.3,1,1.0,1.0
2016-11-14,JJ Redick,SG,4100,23.774776049033452,29.4,1,2.0,1.0
2016-11-14,Jamal Crawford,SG,4100,23.774776049033452,25.5,1,2.0,1.0
2016-11-14,Andre Roberson,SF,3800,22.836320676504695,7.8,1,3.0,1.0
2016-11-14,Jeff Green,SF,3800,22.836320676504695,5.4,1,3.0,1.0
2016-11-14,Trey Lyles,PF,3600,24.83245503597121,30.0,1,4.0,1.0
2016-11-14,Marreese Speights,PF,3600,24.83245503597121,26.7,1,4.0,1.0
2016-11-14,Nene,C,3500,28.47281315605328,16.8,1,5.0,1.0
