Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-04,Kay Felder,PG,3800,25.626468785570413,16.5,1,1.0,1.0
2017-01-04,Russell Westbrook,PG,11800,25.626468785570413,65.0,1,1.0,1.0
2017-01-04,Wayne Ellington,SG,4100,23.773765723270426,17.0,1,2.0,1.0
2017-01-04,JJ Redick,SG,4100,23.773765723270426,24.6,1,2.0,1.0
2017-01-04,Kevin Durant,SF,9900,22.83005305919416,50.0,1,3.0,1.0
2017-01-04,Evan Turner,SF,4900,22.83005305919416,15.6,1,3.0,1.0
2017-01-04,Channing Frye,PF,3600,24.82679486027493,23.0,1,4.0,1.0
2017-01-04,Zach Randolph,PF,5800,24.82679486027493,14.6,1,4.0,1.0
2017-01-04,Spencer Hawes,C,3500,28.46244459995342,22.8,1,5.0,1.0
