Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-11-23,Patrick Beverley,PG,4500,28.73557527859641,26.0,0,1.0,1.0
2016-11-23,Dennis Schroder,PG,5500,25.630197281893906,11.6,1,1.0,1.0
2016-11-23,Avery Bradley,SG,6700,23.78549948830985,39.9,1,2.0,1.0
2016-11-23,Sean Kilpatrick,SG,4800,23.78549948830985,32.9,1,2.0,1.0
2016-11-23,Shabazz Muhammad,SF,3500,22.83230654267685,14.4,1,3.0,1.0
2016-11-23,Stanley Johnson,SF,3500,22.83230654267685,16.3,1,3.0,1.0
2016-11-23,Ersan Ilyasova,PF,4100,24.82707958228303,35.4,1,4.0,1.0
2016-11-23,Enes Kanter,PF,4800,24.82707958228303,19.9,1,4.0,1.0
2016-11-23,Kelly Olynyk,C,3500,28.463850917163267,16.9,1,5.0,1.0
