Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-26,Jameer Nelson,PG,3900,25.62456278419025,35.3,1,1.0,1.0
2017-01-26,Devin Harris,PG,3500,25.62456278419025,17.6,1,1.0,1.0
2017-01-26,Brandon Knight,SG,3700,23.775779470666752,24.2,1,2.0,1.0
2017-01-26,Lou Williams,SG,5700,23.775779470666752,25.5,1,2.0,1.0
2017-01-26,Andrew Wiggins,SF,7600,22.83287217297656,29.0,1,3.0,1.0
2017-01-26,Wilson Chandler,SF,5100,22.83287217297656,27.3,1,3.0,1.0
2017-01-26,Domantas Sabonis,PF,3500,24.833189616455574,16.0,1,4.0,1.0
2017-01-26,Nikola Jokic,PF,10400,24.833189616455574,60.8,1,4.0,1.0
2017-01-26,Ivica Zubac,C,3500,28.46014214144247,29.5,1,5.0,1.0
