Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-10-25,Damian Lillard,PG,8900,37.42373408699746,54.8,0,1.0,1.0
2016-10-25,George Hill,PG,5600,33.08113012720265,35.4,0,1.0,1.0
2016-10-25,Rodney Hood,SG,5400,32.423252118339036,35.9,0,2.0,1.0
2016-10-25,CJ McCollum,SG,6900,33.473224052973016,30.9,0,2.0,1.0
2016-10-25,Joe Johnson,SF,5400,26.949655942956337,38.3,0,3.0,1.0
2016-10-25,Kevin Durant,SF,9300,40.049356161034176,53.0,0,3.0,1.0
2016-10-25,LaMarcus Aldridge,PF,7400,34.438556462510405,47.3,0,4.0,1.0
2016-10-25,Boris Diaw,PF,3500,24.364667964189113,4.6,0,4.0,1.0
2016-10-25,Rudy Gobert,C,6200,36.683662100674695,32.8,0,5.0,1.0
