Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-29,Kyrie Irving,PG,8600,25.623651960784265,47.6,1,1.0,1.0
2017-01-29,Patty Mills,PG,3900,25.623651960784265,17.6,1,1.0,1.0
2017-01-29,Courtney Lee,SG,4500,23.77357126012106,35.8,1,2.0,1.0
2017-01-29,Dwyane Wade,SG,7800,23.77357126012106,32.2,1,2.0,1.0
2017-01-29,LeBron James,SF,10700,22.82570717544587,53.8,1,3.0,1.0
2017-01-29,Aaron Gordon,SF,5200,22.82570717544587,12.1,1,3.0,1.0
2017-01-29,Donatas Motiejunas,PF,3700,24.82363309352516,14.8,1,4.0,1.0
2017-01-29,Al-Farouq Aminu,PF,5300,24.82363309352516,25.8,1,4.0,1.0
2017-01-29,Joffrey Lauvergne,C,3500,28.455100851113528,18.7,1,5.0,1.0
