Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2016-12-04,Derrick Rose,PG,6600,25.631435318813963,32.2,1,1.0,1.0
2016-12-04,Austin Rivers,PG,3600,25.631435318813963,7.6,1,1.0,1.0
2016-12-04,Monta Ellis,SG,4800,23.77877788250077,22.3,1,2.0,1.0
2016-12-04,Rodney Stuckey,SG,3900,23.77877788250077,22.1,1,2.0,1.0
2016-12-04,Jeff Green,SF,3700,22.832303742961244,21.5,1,3.0,1.0
2016-12-04,Solomon Hill,SF,3700,22.832303742961244,13.6,1,3.0,1.0
2016-12-04,Jon Leuer,PF,4600,24.818149977548252,20.9,1,4.0,1.0
2016-12-04,Tobias Harris,PF,5800,24.818149977548252,17.3,1,4.0,1.0
2016-12-04,Kosta Koufos,C,3500,28.46252185060023,17.2,1,5.0,1.0
