Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-01-31,Jrue Holiday,PG,7800,25.62882898652197,41.9,1,1.0,1.0
2017-01-31,John Wall,PG,10500,25.62882898652197,37.3,1,1.0,1.0
2017-01-31,Anthony Morrow,SG,3500,23.773691243515174,15.2,1,2.0,1.0
2017-01-31,Bradley Beal,SG,7000,23.773691243515174,35.4,1,2.0,1.0
2017-01-31,Kelly Oubre Jr.,SF,3600,22.83562608767714,16.4,1,3.0,1.0
2017-01-31,Davis Bertans,SF,3600,22.83562608767714,12.5,1,3.0,1.0
2017-01-31,Willie Cauley-Stein,PF,3500,24.82536401222364,25.2,1,4.0,1.0
2017-01-31,Domantas Sabonis,PF,3500,24.82536401222364,25.0,1,4.0,1.0
2017-01-31,Joffrey Lauvergne,C,3500,28.465679300291534,9.0,1,5.0,1.0
